"HP8714ES: E.06.02"
"Transmission, Format:Phase"
"Freq(MHz)","Deg",
    0.300,  13.764,
   15.299, -19.925,
   30.297, -37.991,
   45.295, -57.468,
   60.294, -77.577,
   75.293, -96.542,
   90.291, -115.66,
  105.290, -135.09,
  120.288, -154.91,
  135.286, -173.48,
  150.285,  167.10,
  165.284,  147.60,
  180.282,  128.67,
  195.280,  109.00,
  210.279,  89.718,
  225.278,  69.917,
  240.276,  50.532,
  255.274,  31.363,
  270.273,  11.618,
  285.272,  -7.607,
  300.270, -27.688,
  315.269, -47.432,
  330.267, -66.819,
  345.265, -87.168,
  360.264, -106.48,
  375.262, -125.64,
  390.261, -145.06,
  405.260, -164.01,
  420.258,  176.37,
  435.257,  157.28,
  450.255,  138.08,
  465.253,  119.66,
  480.252,  100.76,
  495.250,  81.913,
  510.249,  62.520,
  525.247,  43.689,
  540.246,  23.916,
  555.245,   4.675,
  570.243, -14.690,
  585.241, -34.216,
  600.240, -54.175,
  615.239, -73.233,
  630.237, -94.953,
  645.236, -114.18,
  660.234, -133.72,
  675.232, -153.70,
  690.231, -173.82,
  705.230,  167.01,
  720.228,  147.17,
  735.226,  128.43,
  750.225,  108.77,
  765.223,  90.490,
  780.222,  72.062,
  795.221,  53.063,
  810.219,  35.776,
  825.217,  16.072,
  840.216,  -3.349,
  855.215, -22.560,
  870.213, -40.851,
  885.212, -59.223,
  900.210, -77.517,
  915.208, -97.316,
  930.207, -117.70,
  945.206, -137.87,
  960.204, -157.69,
  975.202, -177.25,
  990.201,  162.71,
 1005.199,  141.95,
 1020.198,  121.80,
 1035.197,  101.79,
 1050.195,  80.726,
 1065.194,  60.050,
 1080.192,  38.732,
 1095.190,  19.229,
 1110.189,   1.328,
 1125.188, -16.278,
 1140.186, -34.053,
 1155.185, -52.924,
 1170.183, -72.852,
 1185.181, -91.620,
 1200.180, -109.97,
 1215.178, -127.69,
 1230.177, -145.56,
 1245.176, -164.39,
 1260.174,  178.07,
 1275.172,  159.58,
 1290.171,  140.73,
 1305.169,  122.22,
 1320.168,  100.84,
 1335.167,  79.766,
 1350.165,  58.092,
 1365.164,  36.447,
 1380.162,  13.679,
 1395.160, -10.061,
 1410.159, -33.345,
 1425.158, -52.901,
 1440.156, -69.839,
 1455.155, -86.269,
 1470.153, -104.92,
 1485.151, -123.85,
 1500.150, -143.62,
 1515.149, -163.03,
 1530.147,  178.85,
 1545.146,  161.34,
 1560.144,  144.35,
 1575.142,  129.11,
 1590.141,  113.64,
 1605.139,  98.181,
 1620.138,  81.146,
 1635.137,  61.591,
 1650.135,  40.376,
 1665.133,  17.505,
 1680.132,  -4.964,
 1695.130, -28.308,
 1710.129, -52.575,
 1725.128, -77.215,
 1740.126, -100.74,
 1755.124, -121.46,
 1770.123, -140.39,
 1785.121, -159.13,
 1800.120, -176.69,
 1815.119,  166.63,
 1830.117,  150.53,
 1845.116,  134.24,
 1860.114,  116.21,
 1875.112,  97.762,
 1890.111,  77.595,
 1905.110,  60.119,
 1920.108,  46.167,
 1935.107,  35.565,
 1950.105,  24.776,
 1965.103,   8.035,
 1980.102, -15.110,
 1995.101, -41.692,
 2010.099, -67.974,
 2025.098, -93.227,
 2040.096, -119.68,
 2055.095, -144.22,
 2070.093, -169.12,
 2085.091,  167.34,
 2100.090,  150.49,
 2115.088,  135.66,
 2130.087,  124.72,
 2145.086,  109.79,
 2160.084,  83.127,
 2175.082,  69.158,
 2190.081,  50.247,
 2205.079,  29.570,
 2220.078,  20.170,
 2235.077,  -1.361,
 2250.075, -10.403,
 2265.073, -18.279,
 2280.072, -30.819,
 2295.070, -42.547,
 2310.069, -63.450,
 2325.068, -92.273,
 2340.066, -117.30,
 2355.064, -163.36,
 2370.063,  171.44,
 2385.061,  140.41,
 2400.060,  125.76,
 2415.059,  96.180,
 2430.057,  74.957,
 2445.055,  68.126,
 2460.054,  54.292,
 2475.052,  45.489,
 2490.051,  25.468,
 2505.050,   5.780,
 2520.048,  -4.281,
 2535.046, -31.318,
 2550.045, -51.092,
 2565.044, -62.347,
 2580.042, -67.298,
 2595.041, -94.363,
 2610.039, -100.77,
 2625.037, -114.56,
 2640.036, -135.90,
 2655.035, -158.20,
 2670.033,  177.35,
 2685.032,  145.59,
 2700.030,  116.67,
 2715.028,  82.575,
 2730.027,  60.406,
 2745.026,  36.155,
 2760.024,  20.738,
 2775.023,  -4.136,
 2790.021, -20.610,
 2805.019, -37.517,
 2820.018, -43.892,
 2835.017, -66.871,
 2850.015, -81.871,
 2865.014, -99.472,
 2880.012, -121.66,
 2895.010, -153.12,
 2910.009, -174.03,
 2925.008, -172.80,
 2940.006, -174.89,
 2955.005, -178.33,
 2970.003,  163.43,
 2985.001,  172.27,
 3000.000,  136.04,
