"HP8714ES: E.06.02"
"Reflection, Format:Log Mag"
"Freq(MHz)","dB",
    0.300,-52.549,
   15.299,-51.979,
   30.297,-49.911,
   45.295,-48.738,
   60.294,-47.140,
   75.293,-45.844,
   90.291,-44.653,
  105.290,-43.315,
  120.288,-41.786,
  135.286,-41.266,
  150.285,-40.653,
  165.284,-39.638,
  180.282,-39.372,
  195.280,-38.579,
  210.279,-37.969,
  225.278,-37.577,
  240.276,-37.421,
  255.274,-37.055,
  270.273,-36.691,
  285.272,-36.256,
  300.270,-36.155,
  315.269,-35.829,
  330.267,-35.224,
  345.265,-34.871,
  360.264,-34.482,
  375.262,-34.127,
  390.261,-33.679,
  405.260,-33.233,
  420.258,-32.788,
  435.257,-32.458,
  450.255,-32.040,
  465.253,-31.753,
  480.252,-31.390,
  495.250,-30.976,
  510.249,-30.823,
  525.247,-30.476,
  540.246,-30.246,
  555.245,-30.092,
  570.243,-30.103,
  585.241,-29.806,
  600.240,-29.698,
  615.239,-29.493,
  630.237,-29.211,
  645.236,-28.964,
  660.234,-28.681,
  675.232,-28.469,
  690.231,-28.190,
  705.230,-27.958,
  720.228,-27.700,
  735.226,-27.481,
  750.225,-27.227,
  765.223,-27.049,
  780.222,-26.989,
  795.221,-26.645,
  810.219,-26.440,
  825.217,-26.392,
  840.216,-26.193,
  855.215,-26.082,
  870.213,-25.910,
  885.212,-25.855,
  900.210,-25.754,
  915.208,-25.615,
  930.207,-25.509,
  945.206,-25.266,
  960.204,-25.168,
  975.202,-24.937,
  990.201,-24.773,
 1005.199,-24.756,
 1020.198,-24.614,
 1035.197,-24.549,
 1050.195,-24.478,
 1065.194,-24.275,
 1080.192,-24.160,
 1095.190,-24.037,
 1110.189,-23.914,
 1125.188,-23.750,
 1140.186,-23.618,
 1155.185,-23.516,
 1170.183,-23.445,
 1185.181,-23.334,
 1200.180,-23.310,
 1215.178,-23.184,
 1230.177,-23.155,
 1245.176,-23.048,
 1260.174,-22.991,
 1275.172,-22.955,
 1290.171,-22.936,
 1305.169,-22.852,
 1320.168,-22.879,
 1335.167,-22.790,
 1350.165,-22.867,
 1365.164,-22.638,
 1380.162,-22.550,
 1395.160,-22.379,
 1410.159,-22.190,
 1425.158,-22.076,
 1440.156,-22.025,
 1455.155,-22.014,
 1470.153,-21.905,
 1485.151,-21.862,
 1500.150,-21.881,
 1515.149,-21.877,
 1530.147,-21.840,
 1545.146,-21.824,
 1560.144,-21.748,
 1575.142,-21.780,
 1590.141,-21.741,
 1605.139,-21.722,
 1620.138,-21.744,
 1635.137,-21.677,
 1650.135,-21.581,
 1665.133,-21.439,
 1680.132,-21.296,
 1695.130,-21.108,
 1710.129,-20.924,
 1725.128,-20.818,
 1740.126,-20.752,
 1755.124,-20.818,
 1770.123,-20.804,
 1785.121,-20.818,
 1800.120,-20.836,
 1815.119,-20.881,
 1830.117,-20.828,
 1845.116,-20.828,
 1860.114,-20.767,
 1875.112,-20.751,
 1890.111,-20.739,
 1905.110,-20.639,
 1920.108,-20.534,
 1935.107,-20.557,
 1950.105,-18.474,
 1965.103,-20.656,
 1980.102,-21.214,
 1995.101,-19.110,
 2010.099,-20.432,
 2025.098,-19.877,
 2040.096,-19.591,
 2055.095,-19.376,
 2070.093,-18.958,
 2085.091,-18.775,
 2100.090,-21.962,
 2115.088,-20.316,
 2130.087,-20.303,
 2145.086,-18.528,
 2160.084,-20.314,
 2175.082,-18.973,
 2190.081,-20.409,
 2205.079,-16.846,
 2220.078,-20.223,
 2235.077,-15.280,
 2250.075,-15.411,
 2265.073,-19.227,
 2280.072,-19.168,
 2295.070,-21.836,
 2310.069,-18.000,
 2325.068,-16.025,
 2340.066,-12.727,
 2355.064,-16.797,
 2370.063,-20.871,
 2385.061,-24.177,
 2400.060,-21.435,
 2415.059,-18.680,
 2430.057,-20.232,
 2445.055,-25.974,
 2460.054,-20.378,
 2475.052,-21.746,
 2490.051,-19.725,
 2505.050,-22.444,
 2520.048,-17.784,
 2535.046,-17.742,
 2550.045,-15.438,
 2565.044,-15.738,
 2580.042,-18.681,
 2595.041,-13.274,
 2610.039,-20.064,
 2625.037,-18.491,
 2640.036,-18.353,
 2655.035,-17.186,
 2670.033,-15.602,
 2685.032,-15.669,
 2700.030,-17.915,
 2715.028,-17.417,
 2730.027,-17.361,
 2745.026,-19.244,
 2760.024,-19.482,
 2775.023,-18.405,
 2790.021,-17.207,
 2805.019,-17.518,
 2820.018,-18.986,
 2835.017,-15.954,
 2850.015,-16.818,
 2865.014,-15.103,
 2880.012,-19.330,
 2895.010,-17.969,
 2910.009,-16.413,
 2925.008,-17.701,
 2940.006,-19.315,
 2955.005,-16.013,
 2970.003,-17.515,
 2985.001,-18.479,
 3000.000,-16.455,
