"HP8714ES: E.06.02"
"Transmission, Format:Log Mag"
"Freq(MHz)","dB",
    0.300,  3.380,
   15.299,  3.287,
   30.297,  3.197,
   45.295,  3.180,
   60.294,  3.161,
   75.293,  3.161,
   90.291,  3.194,
  105.290,  3.193,
  120.288,  3.135,
  135.286,  3.193,
  150.285,  3.149,
  165.284,  3.168,
  180.282,  3.180,
  195.280,  3.178,
  210.279,  3.220,
  225.278,  3.222,
  240.276,  3.249,
  255.274,  3.288,
  270.273,  3.260,
  285.272,  3.257,
  300.270,  3.173,
  315.269,  3.145,
  330.267,  3.150,
  345.265,  3.121,
  360.264,  3.067,
  375.262,  2.939,
  390.261,  2.911,
  405.260,  2.876,
  420.258,  2.777,
  435.257,  2.715,
  450.255,  2.654,
  465.253,  2.622,
  480.252,  2.667,
  495.250,  2.683,
  510.249,  2.744,
  525.247,  2.792,
  540.246,  2.800,
  555.245,  2.770,
  570.243,  2.824,
  585.241,  2.889,
  600.240,  2.975,
  615.239,  2.951,
  630.237,  2.924,
  645.236,  2.833,
  660.234,  2.759,
  675.232,  2.707,
  690.231,  2.632,
  705.230,  2.457,
  720.228,  2.344,
  735.226,  2.177,
  750.225,  2.035,
  765.223,  1.877,
  780.222,  1.737,
  795.221,  1.745,
  810.219,  1.780,
  825.217,  1.856,
  840.216,  1.837,
  855.215,  1.757,
  870.213,  1.720,
  885.212,  1.818,
  900.210,  1.980,
  915.208,  2.127,
  930.207,  2.269,
  945.206,  2.352,
  960.204,  2.322,
  975.202,  2.338,
  990.201,  2.383,
 1005.199,  2.340,
 1020.198,  2.380,
 1035.197,  2.307,
 1050.195,  2.236,
 1065.194,  2.111,
 1080.192,  1.845,
 1095.190,  1.350,
 1110.189,  0.993,
 1125.188,  0.799,
 1140.186,  0.780,
 1155.185,  0.832,
 1170.183,  0.730,
 1185.181,  0.570,
 1200.180,  0.404,
 1215.178,  0.346,
 1230.177,  0.365,
 1245.176,  0.420,
 1260.174,  0.549,
 1275.172,  0.653,
 1290.171,  0.883,
 1305.169,  1.264,
 1320.168,  1.549,
 1335.167,  1.814,
 1350.165,  1.861,
 1365.164,  1.931,
 1380.162,  1.902,
 1395.160,  1.792,
 1410.159,  1.053,
 1425.158,  0.184,
 1440.156, -0.393,
 1455.155, -0.536,
 1470.153, -0.601,
 1485.151, -0.665,
 1500.150, -0.873,
 1515.149, -1.229,
 1530.147, -1.609,
 1545.146, -1.972,
 1560.144, -2.201,
 1575.142, -2.311,
 1590.141, -2.245,
 1605.139, -1.912,
 1620.138, -1.310,
 1635.137, -0.620,
 1650.135,  0.081,
 1665.133,  0.416,
 1680.132,  0.616,
 1695.130,  0.730,
 1710.129,  0.783,
 1725.128,  0.375,
 1740.126, -0.347,
 1755.124, -1.180,
 1770.123, -1.865,
 1785.121, -2.519,
 1800.120, -3.075,
 1815.119, -3.638,
 1830.117, -3.914,
 1845.116, -4.004,
 1860.114, -4.034,
 1875.112, -4.073,
 1890.111, -4.400,
 1905.110, -4.975,
 1920.108, -5.906,
 1935.107, -5.644,
 1950.105, -4.610,
 1965.103, -2.976,
 1980.102, -1.629,
 1995.101, -0.752,
 2010.099, -0.649,
 2025.098, -0.816,
 2040.096, -1.064,
 2055.095, -1.151,
 2070.093, -2.216,
 2085.091, -3.650,
 2100.090, -5.341,
 2115.088, -6.561,
 2130.087, -6.178,
 2145.086, -7.136,
 2160.084, -7.181,
 2175.082, -5.991,
 2190.081, -6.720,
 2205.079, -8.569,
 2220.078, -9.663,
 2235.077, -8.684,
 2250.075, -7.950,
 2265.073, -6.969,
 2280.072, -7.152,
 2295.070, -5.197,
 2310.069, -4.190,
 2325.068, -1.768,
 2340.066,  1.341,
 2355.064, -0.814,
 2370.063, -3.355,
 2385.061, -4.567,
 2400.060, -4.711,
 2415.059, -6.091,
 2430.057, -8.237,
 2445.055, -8.912,
 2460.054,-10.303,
 2475.052, -9.725,
 2490.051, -9.255,
 2505.050, -9.632,
 2520.048, -8.639,
 2535.046, -8.986,
 2550.045, -8.633,
 2565.044,-11.086,
 2580.042,-11.032,
 2595.041,-12.019,
 2610.039,-10.606,
 2625.037, -9.940,
 2640.036, -8.132,
 2655.035, -5.790,
 2670.033, -4.978,
 2685.032, -5.186,
 2700.030, -4.944,
 2715.028, -6.109,
 2730.027, -6.614,
 2745.026, -8.184,
 2760.024, -9.325,
 2775.023,-10.804,
 2790.021,-11.618,
 2805.019,-12.544,
 2820.018,-13.869,
 2835.017,-13.117,
 2850.015,-13.062,
 2865.014,-14.381,
 2880.012,-15.014,
 2895.010,-15.985,
 2910.009,-16.804,
 2925.008,-20.581,
 2940.006,-20.596,
 2955.005,-20.920,
 2970.003,-15.398,
 2985.001,-14.750,
 3000.000,-13.663,
