"HP8714ES: E.06.02"
"Transmission, Format:Phase"
"Freq(MHz)","Deg",
    0.300,  115.69,
   15.299, -142.44,
   30.297, -64.767,
   45.295, -125.44,
   60.294, -139.18,
   75.293, -174.73,
   90.291,  158.05,
  105.290,  128.49,
  120.288,  104.41,
  135.286,  80.029,
  150.285,  56.291,
  165.284,  33.125,
  180.282,  10.162,
  195.280, -14.344,
  210.279, -37.520,
  225.278, -59.654,
  240.276, -81.910,
  255.274, -103.36,
  270.273, -127.05,
  285.272, -150.81,
  300.270, -173.09,
  315.269,  163.71,
  330.267,  141.85,
  345.265,  118.90,
  360.264,  96.586,
  375.262,  73.710,
  390.261,  50.802,
  405.260,  28.622,
  420.258,   7.230,
  435.257, -14.711,
  450.255, -36.109,
  465.253, -55.947,
  480.252, -73.858,
  495.250, -92.354,
  510.249, -112.87,
  525.247, -132.82,
  540.246, -154.20,
  555.245, -175.09,
  570.243,  164.57,
  585.241,  143.03,
  600.240,  121.09,
  615.239,  97.119,
  630.237,  72.427,
  645.236,  49.514,
  660.234,  26.572,
  675.232,   5.034,
  690.231, -17.687,
  705.230, -40.354,
  720.228, -61.827,
  735.226, -82.772,
  750.225, -102.98,
  765.223, -121.47,
  780.222, -138.90,
  795.221, -155.79,
  810.219, -172.69,
  825.217,  167.71,
  840.216,  147.49,
  855.215,  125.91,
  870.213,  104.19,
  885.212,  82.444,
  900.210,  58.929,
  915.208,  34.173,
  930.207,   9.321,
  945.206, -15.373,
  960.204, -39.018,
  975.202, -61.411,
  990.201, -83.096,
 1005.199, -105.57,
 1020.198, -126.04,
 1035.197, -145.13,
 1050.195, -165.52,
 1065.194,  174.72,
 1080.192,  156.28,
 1095.190,  138.62,
 1110.189,  120.63,
 1125.188,  100.61,
 1140.186,  78.116,
 1155.185,  55.131,
 1170.183,  31.186,
 1185.181,   7.388,
 1200.180, -16.407,
 1215.178, -38.445,
 1230.177, -59.735,
 1245.176, -80.096,
 1260.174, -99.046,
 1275.172, -118.66,
 1290.171, -138.21,
 1305.169, -155.57,
 1320.168, -174.26,
 1335.167,  167.23,
 1350.165,  147.46,
 1365.164,  127.95,
 1380.162,  108.46,
 1395.160,  92.038,
 1410.159,  75.906,
 1425.158,  58.288,
 1440.156,  36.966,
 1455.155,  12.901,
 1470.153, -12.518,
 1485.151, -36.008,
 1500.150, -58.594,
 1515.149, -81.288,
 1530.147, -102.58,
 1545.146, -123.67,
 1560.144, -143.85,
 1575.142, -162.88,
 1590.141,  178.27,
 1605.139,  161.04,
 1620.138,  145.57,
 1635.137,  128.58,
 1650.135,  111.53,
 1665.133,  93.587,
 1680.132,  75.042,
 1695.130,  57.224,
 1710.129,  40.134,
 1725.128,  24.671,
 1740.126,   7.417,
 1755.124, -12.181,
 1770.123, -35.604,
 1785.121, -60.874,
 1800.120, -85.449,
 1815.119, -109.50,
 1830.117, -131.59,
 1845.116, -153.01,
 1860.114, -175.06,
 1875.112,  162.08,
 1890.111,  137.58,
 1905.110,  112.11,
 1920.108,  89.754,
 1935.107,  71.835,
 1950.105,  58.203,
 1965.103,  43.965,
 1980.102,  27.747,
 1995.101,   5.908,
 2010.099, -20.321,
 2025.098, -48.135,
 2040.096, -73.084,
 2055.095, -91.034,
 2070.093, -116.01,
 2085.091, -141.06,
 2100.090, -166.96,
 2115.088,  174.32,
 2130.087,  163.30,
 2145.086,  150.77,
 2160.084,  127.01,
 2175.082,  101.22,
 2190.081,  76.422,
 2205.079,  47.689,
 2220.078,  20.518,
 2235.077, -11.343,
 2250.075, -23.656,
 2265.073, -39.310,
 2280.072, -64.935,
 2295.070, -78.746,
 2310.069, -106.82,
 2325.068, -132.45,
 2340.066, -142.87,
 2355.064, -168.04,
 2370.063,  179.20,
 2385.061,  154.57,
 2400.060,  137.07,
 2415.059,  109.89,
 2430.057,  83.664,
 2445.055,  77.510,
 2460.054,  49.984,
 2475.052,  61.024,
 2490.051,  40.772,
 2505.050,  24.342,
 2520.048,   2.872,
 2535.046, -31.959,
 2550.045, -56.168,
 2565.044, -89.022,
 2580.042, -97.708,
 2595.041, -149.53,
 2610.039, -147.22,
 2625.037, -157.32,
 2640.036, -166.18,
 2655.035,  169.62,
 2670.033,  149.89,
 2685.032,  117.68,
 2700.030,  107.34,
 2715.028,  98.650,
 2730.027,  63.383,
 2745.026,  39.312,
 2760.024,  27.957,
 2775.023,  15.763,
 2790.021, -24.762,
 2805.019,   6.003,
 2820.018, -30.097,
 2835.017, -42.273,
 2850.015, -71.419,
 2865.014, -90.246,
 2880.012, -133.71,
 2895.010, -158.83,
 2910.009,  144.88,
 2925.008,  127.50,
 2940.006,  147.30,
 2955.005,  137.94,
 2970.003,  151.08,
 2985.001,  115.64,
 3000.000,  93.653,
