"HP8714ES: E.06.02"
"Reflection, Format:Log Mag"
"Freq(MHz)","dB",
    0.300,-43.470,
   15.299,-43.818,
   30.297,-44.283,
   45.295,-44.979,
   60.294,-44.388,
   75.293,-42.929,
   90.291,-41.632,
  105.290,-39.948,
  120.288,-38.152,
  135.286,-36.870,
  150.285,-35.811,
  165.284,-34.712,
  180.282,-34.198,
  195.280,-33.671,
  210.279,-33.317,
  225.278,-33.372,
  240.276,-33.587,
  255.274,-34.081,
  270.273,-35.217,
  285.272,-36.529,
  300.270,-38.595,
  315.269,-40.180,
  330.267,-41.143,
  345.265,-40.078,
  360.264,-38.383,
  375.262,-36.294,
  390.261,-34.628,
  405.260,-33.204,
  420.258,-32.094,
  435.257,-31.271,
  450.255,-30.438,
  465.253,-29.803,
  480.252,-29.398,
  495.250,-28.983,
  510.249,-28.824,
  525.247,-28.769,
  540.246,-28.992,
  555.245,-29.361,
  570.243,-30.132,
  585.241,-30.855,
  600.240,-31.715,
  615.239,-31.973,
  630.237,-31.606,
  645.236,-30.737,
  660.234,-29.760,
  675.232,-28.952,
  690.231,-27.986,
  705.230,-27.507,
  720.228,-26.929,
  735.226,-26.450,
  750.225,-26.132,
  765.223,-25.954,
  780.222,-25.847,
  795.221,-25.658,
  810.219,-25.785,
  825.217,-25.896,
  840.216,-26.062,
  855.215,-26.472,
  870.213,-26.794,
  885.212,-27.037,
  900.210,-27.041,
  915.208,-26.725,
  930.207,-26.094,
  945.206,-25.520,
  960.204,-25.005,
  975.202,-24.646,
  990.201,-24.374,
 1005.199,-24.207,
 1020.198,-24.022,
 1035.197,-23.965,
 1050.195,-23.891,
 1065.194,-23.883,
 1080.192,-23.878,
 1095.190,-23.982,
 1110.189,-24.027,
 1125.188,-24.105,
 1140.186,-24.164,
 1155.185,-24.101,
 1170.183,-23.854,
 1185.181,-23.553,
 1200.180,-23.389,
 1215.178,-23.102,
 1230.177,-22.988,
 1245.176,-22.860,
 1260.174,-22.808,
 1275.172,-22.778,
 1290.171,-22.765,
 1305.169,-22.652,
 1320.168,-22.679,
 1335.167,-22.636,
 1350.165,-22.664,
 1365.164,-22.583,
 1380.162,-22.610,
 1395.160,-22.588,
 1410.159,-22.523,
 1425.158,-22.406,
 1440.156,-22.295,
 1455.155,-22.169,
 1470.153,-21.927,
 1485.151,-21.796,
 1500.150,-21.705,
 1515.149,-21.602,
 1530.147,-21.595,
 1545.146,-21.578,
 1560.144,-21.611,
 1575.142,-21.586,
 1590.141,-21.561,
 1605.139,-21.516,
 1620.138,-21.527,
 1635.137,-21.500,
 1650.135,-21.469,
 1665.133,-21.517,
 1680.132,-21.478,
 1695.130,-21.447,
 1710.129,-21.364,
 1725.128,-21.247,
 1740.126,-21.122,
 1755.124,-20.954,
 1770.123,-20.785,
 1785.121,-20.668,
 1800.120,-20.573,
 1815.119,-20.635,
 1830.117,-20.642,
 1845.116,-20.617,
 1860.114,-20.523,
 1875.112,-20.452,
 1890.111,-20.332,
 1905.110,-20.306,
 1920.108,-20.680,
 1935.107,-19.974,
 1950.105,-20.729,
 1965.103,-19.967,
 1980.102,-21.560,
 1995.101,-19.473,
 2010.099,-21.182,
 2025.098,-18.701,
 2040.096,-19.192,
 2055.095,-18.375,
 2070.093,-18.655,
 2085.091,-20.161,
 2100.090,-20.099,
 2115.088,-20.283,
 2130.087,-19.321,
 2145.086,-19.113,
 2160.084,-18.917,
 2175.082,-19.845,
 2190.081,-19.906,
 2205.079,-18.167,
 2220.078,-19.915,
 2235.077,-16.740,
 2250.075,-19.189,
 2265.073,-21.365,
 2280.072,-19.332,
 2295.070,-18.444,
 2310.069,-16.667,
 2325.068,-16.838,
 2340.066,-20.541,
 2355.064,-18.655,
 2370.063,-15.838,
 2385.061,-20.512,
 2400.060,-15.941,
 2415.059,-17.489,
 2430.057,-19.515,
 2445.055,-18.403,
 2460.054,-15.069,
 2475.052,-15.926,
 2490.051,-25.780,
 2505.050,-21.269,
 2520.048,-25.596,
 2535.046,-20.695,
 2550.045,-16.914,
 2565.044,-17.600,
 2580.042,-19.385,
 2595.041,-15.630,
 2610.039,-23.620,
 2625.037,-15.528,
 2640.036,-16.731,
 2655.035,-15.577,
 2670.033,-16.049,
 2685.032,-15.244,
 2700.030,-17.176,
 2715.028,-15.237,
 2730.027,-14.931,
 2745.026,-18.653,
 2760.024,-17.017,
 2775.023,-17.146,
 2790.021,-17.585,
 2805.019,-16.474,
 2820.018,-19.081,
 2835.017,-18.093,
 2850.015,-17.812,
 2865.014,-18.596,
 2880.012,-18.865,
 2895.010,-17.084,
 2910.009,-18.064,
 2925.008,-18.005,
 2940.006,-18.168,
 2955.005,-16.733,
 2970.003,-16.526,
 2985.001,-16.389,
 3000.000,-15.673,
