"HP8714ES: E.06.02"
"A/R, Format:Log Mag"
"Freq(MHz)","dB",
  100.000,-77.540,
  102.000,-81.987,
  104.000,-75.336,
  106.000,-62.664,
  108.000,-64.181,
  110.000,-56.394,
  112.000,-54.427,
  114.000,-51.418,
  116.000,-47.704,
  118.000,-44.790,
  120.000,-42.166,
  122.000,-39.542,
  124.000,-36.697,
  126.000,-34.076,
  128.000,-31.346,
  130.000,-28.551,
  132.000,-25.802,
  134.000,-22.842,
  136.000,-20.020,
  138.000,-17.048,
  140.000,-14.088,
  142.000,-11.169,
  144.000, -8.402,
  146.000, -6.075,
  148.000, -4.256,
  150.000, -3.198,
  152.000, -2.599,
  154.000, -2.265,
  156.000, -2.115,
  158.000, -2.002,
  160.000, -1.942,
  162.000, -1.886,
  164.000, -1.844,
  166.000, -1.836,
  168.000, -1.829,
  170.000, -1.720,
  172.000, -1.728,
  174.000, -1.675,
  176.000, -1.679,
  178.000, -1.658,
  180.000, -1.618,
  182.000, -1.639,
  184.000, -1.661,
  186.000, -1.625,
  188.000, -1.724,
  190.000, -1.778,
  192.000, -1.856,
  194.000, -1.914,
  196.000, -2.040,
  198.000, -2.260,
  200.000, -2.644,
  202.000, -3.347,
  204.000, -4.456,
  206.000, -5.937,
  208.000, -7.835,
  210.000, -9.840,
  212.000,-12.032,
  214.000,-14.092,
  216.000,-16.058,
  218.000,-17.983,
  220.000,-19.902,
  222.000,-21.672,
  224.000,-23.385,
  226.000,-25.045,
  228.000,-26.617,
  230.000,-27.970,
  232.000,-29.547,
  234.000,-30.785,
  236.000,-32.231,
  238.000,-33.561,
  240.000,-34.735,
  242.000,-35.996,
  244.000,-37.104,
  246.000,-38.274,
  248.000,-39.384,
  250.000,-40.783,
  252.000,-41.422,
  254.000,-42.631,
  256.000,-43.667,
  258.000,-44.522,
  260.000,-44.690,
  262.000,-45.823,
  264.000,-47.278,
  266.000,-48.129,
  268.000,-49.659,
  270.000,-49.602,
  272.000,-50.091,
  274.000,-51.792,
  276.000,-51.614,
  278.000,-52.926,
  280.000,-53.580,
  282.000,-54.680,
  284.000,-55.311,
  286.000,-55.365,
  288.000,-56.640,
  290.000,-55.177,
  292.000,-57.748,
  294.000,-56.991,
  296.000,-58.759,
  298.000,-59.931,
  300.000,-60.495,
  302.000,-63.032,
  304.000,-59.111,
  306.000,-60.418,
  308.000,-59.574,
  310.000,-62.229,
  312.000,-62.457,
  314.000,-63.523,
  316.000,-64.333,
  318.000,-66.302,
  320.000,-65.577,
  322.000,-64.294,
  324.000,-64.656,
  326.000,-63.236,
  328.000,-67.523,
  330.000,-65.195,
  332.000,-67.445,
  334.000,-65.306,
  336.000,-67.209,
  338.000,-66.052,
  340.000,-72.131,
  342.000,-65.671,
  344.000,-64.686,
  346.000,-65.598,
  348.000,-71.049,
  350.000,-66.520,
  352.000,-71.577,
  354.000,-69.987,
  356.000,-68.884,
  358.000,-72.739,
  360.000,-71.128,
  362.000,-65.970,
  364.000,-62.923,
  366.000,-76.277,
  368.000,-67.852,
  370.000,-66.884,
  372.000,-67.913,
  374.000,-67.929,
  376.000,-65.156,
  378.000,-89.836,
  380.000,-86.213,
  382.000,-69.924,
  384.000,-65.574,
  386.000,-71.401,
  388.000,-66.139,
  390.000,-64.240,
  392.000,-65.250,
  394.000,-66.134,
  396.000,-68.848,
  398.000,-76.735,
  400.000,-66.235,
  402.000,-67.206,
  404.000,-79.379,
  406.000,-74.271,
  408.000,-66.250,
  410.000,-64.271,
  412.000,-67.533,
  414.000,-70.085,
  416.000,-74.156,
  418.000,-73.683,
  420.000,-75.362,
  422.000,-77.695,
  424.000,-65.268,
  426.000,-71.693,
  428.000,-69.690,
  430.000,-68.595,
  432.000,-74.688,
  434.000,-67.251,
  436.000,-68.182,
  438.000,-70.236,
  440.000,-69.245,
  442.000,-71.648,
  444.000,-75.683,
  446.000,-74.292,
  448.000,-69.429,
  450.000,-66.390,
  452.000,-68.932,
  454.000,-72.258,
  456.000,-71.727,
  458.000,-68.011,
  460.000,-69.785,
  462.000,-71.071,
  464.000,-70.497,
  466.000,-72.021,
  468.000,-66.751,
  470.000,-64.834,
  472.000,-76.252,
  474.000,-65.837,
  476.000,-70.658,
  478.000,-70.569,
  480.000,-75.011,
  482.000,-69.920,
  484.000,-69.038,
  486.000,-70.349,
  488.000,-69.183,
  490.000,-85.088,
  492.000,-69.087,
  494.000,-72.580,
  496.000,-79.670,
  498.000,-72.499,
  500.000,-72.084,
