"HP8714ES: E.06.02"
"Transmission, Format:Log Mag"
"Freq(MHz)","dB",
  100.000,-69.579,
  102.000,-74.378,
  104.000,-71.349,
  106.000,-65.042,
  108.000,-64.104,
  110.000,-56.830,
  112.000,-55.053,
  114.000,-50.901,
  116.000,-48.710,
  118.000,-45.222,
  120.000,-42.180,
  122.000,-39.627,
  124.000,-36.762,
  126.000,-34.139,
  128.000,-31.366,
  130.000,-28.570,
  132.000,-25.798,
  134.000,-22.881,
  136.000,-19.982,
  138.000,-17.036,
  140.000,-14.076,
  142.000,-11.140,
  144.000, -8.398,
  146.000, -6.040,
  148.000, -4.361,
  150.000, -3.194,
  152.000, -2.608,
  154.000, -2.329,
  156.000, -2.135,
  158.000, -2.069,
  160.000, -1.967,
  162.000, -1.966,
  164.000, -1.830,
  166.000, -1.836,
  168.000, -1.796,
  170.000, -1.763,
  172.000, -1.689,
  174.000, -1.693,
  176.000, -1.619,
  178.000, -1.619,
  180.000, -1.589,
  182.000, -1.659,
  184.000, -1.636,
  186.000, -1.653,
  188.000, -1.715,
  190.000, -1.781,
  192.000, -1.825,
  194.000, -1.938,
  196.000, -2.058,
  198.000, -2.255,
  200.000, -2.614,
  202.000, -3.302,
  204.000, -4.378,
  206.000, -5.927,
  208.000, -7.804,
  210.000, -9.862,
  212.000,-11.982,
  214.000,-14.145,
  216.000,-16.168,
  218.000,-18.114,
  220.000,-20.016,
  222.000,-21.823,
  224.000,-23.485,
  226.000,-25.161,
  228.000,-26.762,
  230.000,-28.267,
  232.000,-29.648,
  234.000,-31.103,
  236.000,-32.489,
  238.000,-33.848,
  240.000,-34.988,
  242.000,-36.124,
  244.000,-37.416,
  246.000,-38.490,
  248.000,-39.476,
  250.000,-40.675,
  252.000,-41.799,
  254.000,-42.592,
  256.000,-43.959,
  258.000,-44.595,
  260.000,-45.052,
  262.000,-46.271,
  264.000,-46.730,
  266.000,-48.326,
  268.000,-48.881,
  270.000,-49.768,
  272.000,-50.329,
  274.000,-51.990,
  276.000,-52.697,
  278.000,-52.860,
  280.000,-54.846,
  282.000,-55.014,
  284.000,-55.058,
  286.000,-54.402,
  288.000,-54.940,
  290.000,-57.415,
  292.000,-56.737,
  294.000,-56.777,
  296.000,-58.443,
  298.000,-59.320,
  300.000,-57.971,
  302.000,-58.929,
  304.000,-58.189,
  306.000,-61.657,
  308.000,-62.439,
  310.000,-61.472,
  312.000,-64.901,
  314.000,-62.562,
  316.000,-62.002,
  318.000,-63.964,
  320.000,-62.677,
  322.000,-65.230,
  324.000,-62.655,
  326.000,-64.311,
  328.000,-65.343,
  330.000,-67.714,
  332.000,-67.172,
  334.000,-65.018,
  336.000,-64.319,
  338.000,-70.922,
  340.000,-66.725,
  342.000,-75.913,
  344.000,-69.412,
  346.000,-71.702,
  348.000,-64.148,
  350.000,-69.176,
  352.000,-69.777,
  354.000,-74.767,
  356.000,-69.690,
  358.000,-67.303,
  360.000,-68.644,
  362.000,-65.169,
  364.000,-65.562,
  366.000,-67.232,
  368.000,-67.056,
  370.000,-65.810,
  372.000,-72.927,
  374.000,-70.469,
  376.000,-69.203,
  378.000,-72.237,
  380.000,-67.963,
  382.000,-67.053,
  384.000,-68.552,
  386.000,-69.730,
  388.000,-65.635,
  390.000,-69.876,
  392.000,-74.592,
  394.000,-66.278,
  396.000,-65.040,
  398.000,-67.489,
  400.000,-70.827,
  402.000,-72.403,
  404.000,-69.271,
  406.000,-66.252,
  408.000,-67.028,
  410.000,-69.391,
  412.000,-66.341,
  414.000,-69.950,
  416.000,-69.154,
  418.000,-77.539,
  420.000,-69.189,
  422.000,-65.838,
  424.000,-70.004,
  426.000,-65.853,
  428.000,-69.021,
  430.000,-76.415,
  432.000,-79.970,
  434.000,-70.255,
  436.000,-67.168,
  438.000,-76.693,
  440.000,-81.684,
  442.000,-77.659,
  444.000,-74.051,
  446.000,-65.286,
  448.000,-69.650,
  450.000,-69.372,
  452.000,-65.042,
  454.000,-75.250,
  456.000,-67.229,
  458.000,-70.320,
  460.000,-70.771,
  462.000,-67.481,
  464.000,-68.691,
  466.000,-80.104,
  468.000,-69.422,
  470.000,-74.306,
  472.000,-67.098,
  474.000,-80.368,
  476.000,-70.750,
  478.000,-67.428,
  480.000,-71.842,
  482.000,-73.811,
  484.000,-77.831,
  486.000,-70.118,
  488.000,-102.14,
  490.000,-73.561,
  492.000,-65.660,
  494.000,-71.970,
  496.000,-68.861,
  498.000,-75.501,
  500.000,-66.759,
