"HP8714ES: E.06.02"
"Transmission, Format:Phase"
"Freq(MHz)","Deg",
  700.000,  134.37,
  705.000,  132.63,
  710.000,  131.36,
  715.000,  129.00,
  720.000,  126.97,
  725.000,  125.60,
  730.000,  123.98,
  735.000,  121.79,
  740.000,  120.77,
  745.000,  119.04,
  750.000,  117.06,
  755.000,  115.34,
  760.000,  113.60,
  765.000,  111.47,
  770.000,  110.29,
  775.000,  108.71,
  780.000,  106.61,
  785.000,  104.75,
  790.000,  102.84,
  795.000,  101.17,
  800.000,  99.540,
  805.000,  97.987,
  810.000,  96.303,
  815.000,  95.251,
  820.000,  93.025,
  825.000,  91.517,
  830.000,  89.532,
  835.000,  89.227,
  840.000,  87.170,
  845.000,  85.393,
  850.000,  84.184,
  855.000,  81.698,
  860.000,  80.696,
  865.000,  78.287,
  870.000,  77.756,
  875.000,  74.967,
  880.000,  73.788,
  885.000,  71.998,
  890.000,  70.659,
  895.000,  68.397,
  900.000,  67.253,
  905.000,  65.470,
  910.000,  63.980,
  915.000,  62.294,
  920.000,  60.320,
  925.000,  58.683,
  930.000,  57.182,
  935.000,  55.691,
  940.000,  53.818,
  945.000,  52.421,
  950.000,  51.070,
  955.000,  48.892,
  960.000,  47.416,
  965.000,  46.140,
  970.000,  44.964,
  975.000,  42.399,
  980.000,  40.529,
  985.000,  39.641,
  990.000,  38.176,
  995.000,  35.994,
 1000.000,  34.527,
 1005.000,  32.668,
 1010.000,  31.141,
 1015.000,  29.881,
 1020.000,  27.952,
 1025.000,  26.351,
 1030.000,  24.859,
 1035.000,  22.729,
 1040.000,  21.217,
 1045.000,  19.454,
 1050.000,  18.766,
 1055.000,  17.173,
 1060.000,  15.422,
 1065.000,  13.531,
 1070.000,  11.636,
 1075.000,   9.941,
 1080.000,   8.495,
 1085.000,   7.018,
 1090.000,   4.801,
 1095.000,   3.542,
 1100.000,   1.029,
 1105.000,  -0.054,
 1110.000,  -1.688,
 1115.000,  -3.675,
 1120.000,  -4.771,
 1125.000,  -6.935,
 1130.000,  -9.171,
 1135.000, -10.524,
 1140.000, -11.474,
 1145.000, -13.116,
 1150.000, -14.212,
 1155.000, -16.007,
 1160.000, -18.195,
 1165.000, -19.249,
 1170.000, -21.088,
 1175.000, -22.610,
 1180.000, -24.340,
 1185.000, -26.407,
 1190.000, -27.659,
 1195.000, -29.062,
 1200.000, -31.440,
 1205.000, -32.636,
 1210.000, -34.894,
 1215.000, -35.692,
 1220.000, -38.124,
 1225.000, -39.942,
 1230.000, -41.015,
 1235.000, -43.182,
 1240.000, -44.342,
 1245.000, -46.391,
 1250.000, -48.259,
 1255.000, -49.786,
 1260.000, -51.232,
 1265.000, -52.589,
 1270.000, -54.787,
 1275.000, -56.301,
 1280.000, -57.777,
 1285.000, -59.461,
 1290.000, -61.051,
 1295.000, -62.931,
 1300.000, -64.536,
 1305.000, -65.403,
 1310.000, -67.216,
 1315.000, -69.526,
 1320.000, -71.077,
 1325.000, -72.124,
 1330.000, -74.215,
 1335.000, -75.576,
 1340.000, -77.445,
 1345.000, -78.650,
 1350.000, -80.357,
 1355.000, -81.848,
 1360.000, -84.267,
 1365.000, -85.375,
 1370.000, -87.635,
 1375.000, -89.915,
 1380.000, -91.022,
 1385.000, -92.847,
 1390.000, -95.036,
 1395.000, -96.372,
 1400.000, -97.888,
 1405.000, -99.704,
 1410.000, -101.35,
 1415.000, -102.71,
 1420.000, -104.38,
 1425.000, -105.07,
 1430.000, -107.18,
 1435.000, -108.26,
 1440.000, -110.11,
 1445.000, -112.00,
 1450.000, -113.36,
 1455.000, -115.45,
 1460.000, -116.74,
 1465.000, -119.07,
 1470.000, -120.29,
 1475.000, -122.87,
 1480.000, -123.76,
 1485.000, -126.14,
 1490.000, -127.68,
 1495.000, -129.61,
 1500.000, -131.72,
 1505.000, -133.52,
 1510.000, -135.80,
 1515.000, -136.60,
 1520.000, -137.77,
 1525.000, -140.41,
 1530.000, -142.38,
 1535.000, -143.38,
 1540.000, -145.53,
 1545.000, -146.26,
 1550.000, -148.76,
 1555.000, -149.17,
 1560.000, -151.38,
 1565.000, -153.24,
 1570.000, -154.60,
 1575.000, -156.10,
 1580.000, -158.01,
 1585.000, -158.80,
 1590.000, -161.31,
 1595.000, -162.94,
 1600.000, -163.96,
 1605.000, -166.06,
 1610.000, -167.97,
 1615.000, -169.72,
 1620.000, -171.61,
 1625.000, -174.20,
 1630.000, -175.51,
 1635.000, -177.83,
 1640.000, -179.13,
 1645.000,  178.37,
 1650.000,  176.88,
 1655.000,  175.17,
 1660.000,  172.87,
 1665.000,  171.38,
 1670.000,  170.03,
 1675.000,  168.74,
 1680.000,  166.30,
 1685.000,  164.72,
 1690.000,  163.28,
 1695.000,  161.90,
 1700.000,  160.73,
