"HP8714ES: E.06.02"
"Reflection, Format:Log Mag"
"Freq(MHz)","dB",
  700.000,-14.559,
  705.000,-14.523,
  710.000,-14.458,
  715.000,-14.364,
  720.000,-14.289,
  725.000,-14.275,
  730.000,-14.132,
  735.000,-14.102,
  740.000,-14.032,
  745.000,-13.952,
  750.000,-13.862,
  755.000,-13.758,
  760.000,-13.721,
  765.000,-13.622,
  770.000,-13.558,
  775.000,-13.453,
  780.000,-13.354,
  785.000,-13.336,
  790.000,-13.237,
  795.000,-13.113,
  800.000,-13.063,
  805.000,-13.032,
  810.000,-12.926,
  815.000,-12.942,
  820.000,-12.848,
  825.000,-12.800,
  830.000,-12.693,
  835.000,-12.659,
  840.000,-12.643,
  845.000,-12.621,
  850.000,-12.550,
  855.000,-12.525,
  860.000,-12.527,
  865.000,-12.525,
  870.000,-12.478,
  875.000,-12.474,
  880.000,-12.440,
  885.000,-12.491,
  890.000,-12.474,
  895.000,-12.511,
  900.000,-12.451,
  905.000,-12.459,
  910.000,-12.513,
  915.000,-12.547,
  920.000,-12.550,
  925.000,-12.531,
  930.000,-12.603,
  935.000,-12.560,
  940.000,-12.630,
  945.000,-12.641,
  950.000,-12.740,
  955.000,-12.708,
  960.000,-12.798,
  965.000,-12.803,
  970.000,-12.862,
  975.000,-12.909,
  980.000,-12.967,
  985.000,-13.006,
  990.000,-13.042,
  995.000,-13.139,
 1000.000,-13.162,
 1005.000,-13.214,
 1010.000,-13.306,
 1015.000,-13.341,
 1020.000,-13.434,
 1025.000,-13.477,
 1030.000,-13.583,
 1035.000,-13.619,
 1040.000,-13.720,
 1045.000,-13.749,
 1050.000,-13.841,
 1055.000,-13.927,
 1060.000,-14.019,
 1065.000,-14.035,
 1070.000,-14.116,
 1075.000,-14.236,
 1080.000,-14.316,
 1085.000,-14.398,
 1090.000,-14.418,
 1095.000,-14.511,
 1100.000,-14.535,
 1105.000,-14.634,
 1110.000,-14.700,
 1115.000,-14.792,
 1120.000,-14.864,
 1125.000,-14.936,
 1130.000,-15.013,
 1135.000,-15.071,
 1140.000,-15.194,
 1145.000,-15.221,
 1150.000,-15.325,
 1155.000,-15.348,
 1160.000,-15.436,
 1165.000,-15.481,
 1170.000,-15.601,
 1175.000,-15.644,
 1180.000,-15.694,
 1185.000,-15.773,
 1190.000,-15.837,
 1195.000,-15.895,
 1200.000,-15.985,
 1205.000,-16.030,
 1210.000,-16.048,
 1215.000,-16.148,
 1220.000,-16.127,
 1225.000,-16.214,
 1230.000,-16.238,
 1235.000,-16.327,
 1240.000,-16.338,
 1245.000,-16.355,
 1250.000,-16.380,
 1255.000,-16.397,
 1260.000,-16.466,
 1265.000,-16.459,
 1270.000,-16.444,
 1275.000,-16.466,
 1280.000,-16.499,
 1285.000,-16.478,
 1290.000,-16.523,
 1295.000,-16.510,
 1300.000,-16.473,
 1305.000,-16.518,
 1310.000,-16.528,
 1315.000,-16.541,
 1320.000,-16.543,
 1325.000,-16.512,
 1330.000,-16.448,
 1335.000,-16.382,
 1340.000,-16.456,
 1345.000,-16.297,
 1350.000,-16.315,
 1355.000,-16.242,
 1360.000,-16.223,
 1365.000,-16.183,
 1370.000,-16.100,
 1375.000,-16.050,
 1380.000,-15.982,
 1385.000,-15.922,
 1390.000,-15.860,
 1395.000,-15.799,
 1400.000,-15.754,
 1405.000,-15.730,
 1410.000,-15.696,
 1415.000,-15.633,
 1420.000,-15.560,
 1425.000,-15.490,
 1430.000,-15.436,
 1435.000,-15.353,
 1440.000,-15.317,
 1445.000,-15.263,
 1450.000,-15.233,
 1455.000,-15.142,
 1460.000,-15.128,
 1465.000,-15.100,
 1470.000,-15.017,
 1475.000,-15.020,
 1480.000,-14.819,
 1485.000,-14.750,
 1490.000,-14.689,
 1495.000,-14.663,
 1500.000,-14.635,
 1505.000,-14.551,
 1510.000,-14.566,
 1515.000,-14.530,
 1520.000,-14.553,
 1525.000,-14.504,
 1530.000,-14.488,
 1535.000,-14.451,
 1540.000,-14.447,
 1545.000,-14.424,
 1550.000,-14.430,
 1555.000,-14.390,
 1560.000,-14.392,
 1565.000,-14.424,
 1570.000,-14.412,
 1575.000,-14.344,
 1580.000,-14.410,
 1585.000,-14.410,
 1590.000,-14.421,
 1595.000,-14.448,
 1600.000,-14.449,
 1605.000,-14.510,
 1610.000,-14.543,
 1615.000,-14.623,
 1620.000,-14.695,
 1625.000,-14.693,
 1630.000,-14.680,
 1635.000,-14.773,
 1640.000,-14.814,
 1645.000,-14.819,
 1650.000,-14.869,
 1655.000,-14.882,
 1660.000,-14.990,
 1665.000,-15.053,
 1670.000,-15.193,
 1675.000,-15.281,
 1680.000,-15.442,
 1685.000,-15.624,
 1690.000,-15.752,
 1695.000,-15.894,
 1700.000,-16.015,
