"HP8714ES: E.06.02"
"B/R, Format:Log Mag"
"Freq(MHz)","dB",
  700.000, -2.052,
  705.000, -2.124,
  710.000, -2.157,
  715.000, -2.243,
  720.000, -2.298,
  725.000, -2.352,
  730.000, -2.522,
  735.000, -2.538,
  740.000, -2.667,
  745.000, -2.750,
  750.000, -2.795,
  755.000, -2.858,
  760.000, -3.004,
  765.000, -3.082,
  770.000, -3.122,
  775.000, -3.244,
  780.000, -3.347,
  785.000, -3.404,
  790.000, -3.576,
  795.000, -3.644,
  800.000, -3.720,
  805.000, -3.910,
  810.000, -3.912,
  815.000, -4.013,
  820.000, -4.107,
  825.000, -4.211,
  830.000, -4.315,
  835.000, -4.510,
  840.000, -4.585,
  845.000, -4.704,
  850.000, -4.788,
  855.000, -4.892,
  860.000, -4.994,
  865.000, -5.143,
  870.000, -5.204,
  875.000, -5.315,
  880.000, -5.413,
  885.000, -5.571,
  890.000, -5.594,
  895.000, -5.752,
  900.000, -5.830,
  905.000, -6.007,
  910.000, -6.103,
  915.000, -6.210,
  920.000, -6.285,
  925.000, -6.433,
  930.000, -6.534,
  935.000, -6.659,
  940.000, -6.780,
  945.000, -6.877,
  950.000, -7.031,
  955.000, -7.115,
  960.000, -7.243,
  965.000, -7.397,
  970.000, -7.478,
  975.000, -7.587,
  980.000, -7.690,
  985.000, -7.835,
  990.000, -7.961,
  995.000, -8.065,
 1000.000, -8.132,
 1005.000, -8.271,
 1010.000, -8.376,
 1015.000, -8.481,
 1020.000, -8.619,
 1025.000, -8.750,
 1030.000, -8.842,
 1035.000, -8.945,
 1040.000, -9.051,
 1045.000, -9.153,
 1050.000, -9.296,
 1055.000, -9.405,
 1060.000, -9.490,
 1065.000, -9.599,
 1070.000, -9.755,
 1075.000, -9.800,
 1080.000, -9.940,
 1085.000,-10.044,
 1090.000,-10.108,
 1095.000,-10.237,
 1100.000,-10.300,
 1105.000,-10.450,
 1110.000,-10.523,
 1115.000,-10.619,
 1120.000,-10.752,
 1125.000,-10.843,
 1130.000,-10.947,
 1135.000,-11.022,
 1140.000,-11.147,
 1145.000,-11.211,
 1150.000,-11.341,
 1155.000,-11.429,
 1160.000,-11.536,
 1165.000,-11.582,
 1170.000,-11.644,
 1175.000,-11.758,
 1180.000,-11.835,
 1185.000,-11.934,
 1190.000,-12.003,
 1195.000,-12.092,
 1200.000,-12.144,
 1205.000,-12.248,
 1210.000,-12.296,
 1215.000,-12.372,
 1220.000,-12.490,
 1225.000,-12.530,
 1230.000,-12.568,
 1235.000,-12.656,
 1240.000,-12.692,
 1245.000,-12.712,
 1250.000,-12.799,
 1255.000,-12.864,
 1260.000,-12.888,
 1265.000,-12.930,
 1270.000,-12.967,
 1275.000,-13.032,
 1280.000,-13.076,
 1285.000,-13.060,
 1290.000,-13.131,
 1295.000,-13.169,
 1300.000,-13.174,
 1305.000,-13.217,
 1310.000,-13.270,
 1315.000,-13.302,
 1320.000,-13.311,
 1325.000,-13.390,
 1330.000,-13.390,
 1335.000,-13.417,
 1340.000,-13.444,
 1345.000,-13.440,
 1350.000,-13.446,
 1355.000,-13.490,
 1360.000,-13.505,
 1365.000,-13.528,
 1370.000,-13.560,
 1375.000,-13.544,
 1380.000,-13.521,
 1385.000,-13.539,
 1390.000,-13.571,
 1395.000,-13.551,
 1400.000,-13.586,
 1405.000,-13.602,
 1410.000,-13.660,
 1415.000,-13.640,
 1420.000,-13.631,
 1425.000,-13.685,
 1430.000,-13.645,
 1435.000,-13.625,
 1440.000,-13.606,
 1445.000,-13.633,
 1450.000,-13.605,
 1455.000,-13.634,
 1460.000,-13.657,
 1465.000,-13.698,
 1470.000,-13.685,
 1475.000,-13.614,
 1480.000,-13.668,
 1485.000,-13.583,
 1490.000,-13.571,
 1495.000,-13.649,
 1500.000,-13.543,
 1505.000,-13.635,
 1510.000,-13.695,
 1515.000,-13.620,
 1520.000,-13.741,
 1525.000,-13.662,
 1530.000,-13.742,
 1535.000,-13.701,
 1540.000,-13.751,
 1545.000,-13.779,
 1550.000,-13.740,
 1555.000,-13.736,
 1560.000,-13.718,
 1565.000,-13.783,
 1570.000,-13.812,
 1575.000,-13.853,
 1580.000,-13.851,
 1585.000,-13.848,
 1590.000,-13.891,
 1595.000,-13.897,
 1600.000,-13.847,
 1605.000,-13.832,
 1610.000,-13.943,
 1615.000,-13.927,
 1620.000,-13.998,
 1625.000,-14.053,
 1630.000,-13.997,
 1635.000,-14.145,
 1640.000,-14.054,
 1645.000,-14.095,
 1650.000,-14.050,
 1655.000,-14.318,
 1660.000,-14.230,
 1665.000,-14.291,
 1670.000,-14.186,
 1675.000,-14.464,
 1680.000,-14.448,
 1685.000,-14.367,
 1690.000,-14.397,
 1695.000,-14.535,
 1700.000,-14.476,
