"HP8714ES: E.06.02"
"Transmission, Format:Log Mag"
"Freq(MHz)","dB",
  700.000,-19.510,
  705.000,-19.477,
  710.000,-19.482,
  715.000,-19.505,
  720.000,-19.578,
  725.000,-19.609,
  730.000,-19.604,
  735.000,-19.651,
  740.000,-19.679,
  745.000,-19.707,
  750.000,-19.701,
  755.000,-19.777,
  760.000,-19.830,
  765.000,-19.872,
  770.000,-19.920,
  775.000,-19.988,
  780.000,-20.043,
  785.000,-20.064,
  790.000,-20.174,
  795.000,-20.267,
  800.000,-20.394,
  805.000,-20.414,
  810.000,-20.490,
  815.000,-20.579,
  820.000,-20.697,
  825.000,-20.833,
  830.000,-20.885,
  835.000,-20.985,
  840.000,-21.115,
  845.000,-21.215,
  850.000,-21.344,
  855.000,-21.387,
  860.000,-21.515,
  865.000,-21.631,
  870.000,-21.692,
  875.000,-21.898,
  880.000,-21.974,
  885.000,-22.069,
  890.000,-22.237,
  895.000,-22.340,
  900.000,-22.558,
  905.000,-22.661,
  910.000,-22.762,
  915.000,-22.959,
  920.000,-23.143,
  925.000,-23.323,
  930.000,-23.505,
  935.000,-23.672,
  940.000,-23.876,
  945.000,-24.106,
  950.000,-24.272,
  955.000,-24.463,
  960.000,-24.610,
  965.000,-24.862,
  970.000,-25.058,
  975.000,-25.248,
  980.000,-25.489,
  985.000,-25.697,
  990.000,-25.922,
  995.000,-26.179,
 1000.000,-26.374,
 1005.000,-26.598,
 1010.000,-26.911,
 1015.000,-27.173,
 1020.000,-27.481,
 1025.000,-27.735,
 1030.000,-28.041,
 1035.000,-28.244,
 1040.000,-28.651,
 1045.000,-28.838,
 1050.000,-29.186,
 1055.000,-29.463,
 1060.000,-29.736,
 1065.000,-30.027,
 1070.000,-30.561,
 1075.000,-30.899,
 1080.000,-31.141,
 1085.000,-31.573,
 1090.000,-31.998,
 1095.000,-32.493,
 1100.000,-32.818,
 1105.000,-33.233,
 1110.000,-33.717,
 1115.000,-34.358,
 1120.000,-34.826,
 1125.000,-35.377,
 1130.000,-35.884,
 1135.000,-36.269,
 1140.000,-36.943,
 1145.000,-37.525,
 1150.000,-38.134,
 1155.000,-38.707,
 1160.000,-39.212,
 1165.000,-40.107,
 1170.000,-40.499,
 1175.000,-41.267,
 1180.000,-41.294,
 1185.000,-42.035,
 1190.000,-42.139,
 1195.000,-42.177,
 1200.000,-42.721,
 1205.000,-42.567,
 1210.000,-41.906,
 1215.000,-41.832,
 1220.000,-41.599,
 1225.000,-40.978,
 1230.000,-40.649,
 1235.000,-40.124,
 1240.000,-39.685,
 1245.000,-39.514,
 1250.000,-38.902,
 1255.000,-38.536,
 1260.000,-37.828,
 1265.000,-37.718,
 1270.000,-37.345,
 1275.000,-37.051,
 1280.000,-36.565,
 1285.000,-36.177,
 1290.000,-36.000,
 1295.000,-35.658,
 1300.000,-35.525,
 1305.000,-35.054,
 1310.000,-34.903,
 1315.000,-34.598,
 1320.000,-34.428,
 1325.000,-34.073,
 1330.000,-33.917,
 1335.000,-33.739,
 1340.000,-33.447,
 1345.000,-33.304,
 1350.000,-33.100,
 1355.000,-33.009,
 1360.000,-32.840,
 1365.000,-32.501,
 1370.000,-32.564,
 1375.000,-32.364,
 1380.000,-32.263,
 1385.000,-32.008,
 1390.000,-32.119,
 1395.000,-32.014,
 1400.000,-31.838,
 1405.000,-31.753,
 1410.000,-31.579,
 1415.000,-31.577,
 1420.000,-31.402,
 1425.000,-31.375,
 1430.000,-31.194,
 1435.000,-31.186,
 1440.000,-31.051,
 1445.000,-30.933,
 1450.000,-30.878,
 1455.000,-30.809,
 1460.000,-30.740,
 1465.000,-30.617,
 1470.000,-30.658,
 1475.000,-30.568,
 1480.000,-30.445,
 1485.000,-30.400,
 1490.000,-30.421,
 1495.000,-30.353,
 1500.000,-30.319,
 1505.000,-30.323,
 1510.000,-30.317,
 1515.000,-30.233,
 1520.000,-30.186,
 1525.000,-30.194,
 1530.000,-30.125,
 1535.000,-30.135,
 1540.000,-30.039,
 1545.000,-30.096,
 1550.000,-30.050,
 1555.000,-29.901,
 1560.000,-29.861,
 1565.000,-29.861,
 1570.000,-29.813,
 1575.000,-29.685,
 1580.000,-29.686,
 1585.000,-29.691,
 1590.000,-29.591,
 1595.000,-29.461,
 1600.000,-29.419,
 1605.000,-29.297,
 1610.000,-29.190,
 1615.000,-29.169,
 1620.000,-28.946,
 1625.000,-29.001,
 1630.000,-28.903,
 1635.000,-28.834,
 1640.000,-28.827,
 1645.000,-28.758,
 1650.000,-28.508,
 1655.000,-28.571,
 1660.000,-28.617,
 1665.000,-28.498,
 1670.000,-28.486,
 1675.000,-28.387,
 1680.000,-28.336,
 1685.000,-28.293,
 1690.000,-28.187,
 1695.000,-28.098,
 1700.000,-27.944,
