"HP8714ES: E.06.02"
"Transmission, Format:Log Mag"
"Freq(MHz)","dB",
    0.300,-83.745,
   15.299,-73.517,
   30.297,-70.091,
   45.295,-63.596,
   60.294,-59.764,
   75.293,-53.673,
   90.291,-48.511,
  105.290,-44.054,
  120.288,-40.536,
  135.286,-37.601,
  150.285,-34.825,
  165.284,-32.439,
  180.282,-30.135,
  195.280,-28.210,
  210.279,-26.494,
  225.278,-25.018,
  240.276,-23.402,
  255.274,-21.772,
  270.273,-20.379,
  285.272,-19.108,
  300.270,-17.989,
  315.269,-17.042,
  330.267,-16.012,
  345.265,-15.117,
  360.264,-14.102,
  375.262,-13.358,
  390.261,-12.757,
  405.260,-12.151,
  420.258,-11.658,
  435.257,-11.119,
  450.255,-10.762,
  465.253,-10.459,
  480.252, -9.945,
  495.250, -9.226,
  510.249, -8.386,
  525.247, -7.562,
  540.246, -6.868,
  555.245, -6.255,
  570.243, -5.534,
  585.241, -4.682,
  600.240, -3.808,
  615.239, -3.112,
  630.237, -2.689,
  645.236, -2.417,
  660.234, -2.264,
  675.232, -2.018,
  690.231, -1.860,
  705.230, -1.834,
  720.228, -1.785,
  735.226, -1.876,
  750.225, -1.965,
  765.223, -2.014,
  780.222, -2.064,
  795.221, -1.709,
  810.219, -1.034,
  825.217, -0.282,
  840.216,  0.462,
  855.215,  1.072,
  870.213,  1.707,
  885.212,  2.420,
  900.210,  3.135,
  915.208,  3.629,
  930.207,  3.840,
  945.206,  3.811,
  960.204,  3.635,
  975.202,  3.475,
  990.201,  3.233,
 1005.199,  2.964,
 1020.198,  2.764,
 1035.197,  2.588,
 1050.195,  2.475,
 1065.194,  2.409,
 1080.192,  2.345,
 1095.190,  2.408,
 1110.189,  2.828,
 1125.188,  3.397,
 1140.186,  3.933,
 1155.185,  4.350,
 1170.183,  4.435,
 1185.181,  4.402,
 1200.180,  4.099,
 1215.178,  3.784,
 1230.177,  3.356,
 1245.176,  2.998,
 1260.174,  2.676,
 1275.172,  2.326,
 1290.171,  2.107,
 1305.169,  1.970,
 1320.168,  1.902,
 1335.167,  2.021,
 1350.165,  2.072,
 1365.164,  2.013,
 1380.162,  1.753,
 1395.160,  1.693,
 1410.159,  2.020,
 1425.158,  2.730,
 1440.156,  3.595,
 1455.155,  4.154,
 1470.153,  4.278,
 1485.151,  4.120,
 1500.150,  3.797,
 1515.149,  3.452,
 1530.147,  3.022,
 1545.146,  2.570,
 1560.144,  2.102,
 1575.142,  1.670,
 1590.141,  1.209,
 1605.139,  0.721,
 1620.138,  0.483,
 1635.137,  0.436,
 1650.135,  0.691,
 1665.133,  0.868,
 1680.132,  0.995,
 1695.130,  0.927,
 1710.129,  1.003,
 1725.128,  1.417,
 1740.126,  2.287,
 1755.124,  3.263,
 1770.123,  4.140,
 1785.121,  4.691,
 1800.120,  4.948,
 1815.119,  4.781,
 1830.117,  4.590,
 1845.116,  4.590,
 1860.114,  4.637,
 1875.112,  4.725,
 1890.111,  4.716,
 1905.110,  4.338,
 1920.108,  3.172,
 1935.107,  2.326,
 1950.105,  1.500,
 1965.103,  2.301,
 1980.102,  3.215,
 1995.101,  4.081,
 2010.099,  4.827,
 2025.098,  4.593,
 2040.096,  3.821,
 2055.095,  3.875,
 2070.093,  4.320,
 2085.091,  3.803,
 2100.090,  1.793,
 2115.088,  0.927,
 2130.087,  0.703,
 2145.086,  1.722,
 2160.084,  1.796,
 2175.082,  2.830,
 2190.081,  3.730,
 2205.079,  2.859,
 2220.078,  1.054,
 2235.077,  0.486,
 2250.075,  0.263,
 2265.073,  0.590,
 2280.072, -1.109,
 2295.070, -1.724,
 2310.069, -2.983,
 2325.068, -3.450,
 2340.066, -1.866,
 2355.064, -4.364,
 2370.063, -5.773,
 2385.061, -5.900,
 2400.060, -5.804,
 2415.059, -7.131,
 2430.057, -8.888,
 2445.055, -9.744,
 2460.054, -9.697,
 2475.052,-10.957,
 2490.051, -8.484,
 2505.050, -7.310,
 2520.048, -4.676,
 2535.046, -5.418,
 2550.045, -6.385,
 2565.044, -7.132,
 2580.042, -9.312,
 2595.041,-13.091,
 2610.039,-12.069,
 2625.037,-13.423,
 2640.036,-12.535,
 2655.035,-12.623,
 2670.033,-11.646,
 2685.032,-13.821,
 2700.030,-13.192,
 2715.028,-14.024,
 2730.027,-13.521,
 2745.026,-16.593,
 2760.024,-16.558,
 2775.023,-18.326,
 2790.021,-19.877,
 2805.019,-21.523,
 2820.018,-17.613,
 2835.017,-16.301,
 2850.015,-16.554,
 2865.014,-14.264,
 2880.012,-15.570,
 2895.010,-15.660,
 2910.009,-18.799,
 2925.008,-23.068,
 2940.006,-27.007,
 2955.005,-24.605,
 2970.003,-23.952,
 2985.001,-24.589,
 3000.000,-22.544,
