"HP8714ES: E.06.02"
"A/R, Format:Phase"
"Freq(MHz)","Deg",
  100.000, -92.473,
  102.000,  139.14,
  104.000,   3.395,
  106.000,  14.768,
  108.000,  12.220,
  110.000,  -6.047,
  112.000,   1.599,
  114.000,  -2.156,
  116.000,  -5.904,
  118.000,  -9.546,
  120.000, -11.850,
  122.000, -17.700,
  124.000, -24.826,
  126.000, -28.412,
  128.000, -34.692,
  130.000, -42.293,
  132.000, -50.245,
  134.000, -57.799,
  136.000, -68.596,
  138.000, -80.049,
  140.000, -94.028,
  142.000, -111.07,
  144.000, -130.16,
  146.000, -152.25,
  148.000, -177.07,
  150.000,  158.62,
  152.000,  135.40,
  154.000,  115.82,
  156.000,  96.465,
  158.000,  80.171,
  160.000,  63.167,
  162.000,  47.722,
  164.000,  33.070,
  166.000,  18.557,
  168.000,   4.445,
  170.000,  -8.845,
  172.000, -22.816,
  174.000, -35.322,
  176.000, -49.031,
  178.000, -62.509,
  180.000, -74.884,
  182.000, -88.337,
  184.000, -101.61,
  186.000, -114.78,
  188.000, -129.07,
  190.000, -142.96,
  192.000, -157.60,
  194.000, -172.38,
  196.000,  172.35,
  198.000,  155.08,
  200.000,  136.58,
  202.000,  117.83,
  204.000,  97.619,
  206.000,  79.345,
  208.000,  62.908,
  210.000,  48.183,
  212.000,  36.384,
  214.000,  25.746,
  216.000,  17.250,
  218.000,   9.936,
  220.000,   2.528,
  222.000,  -3.064,
  224.000,  -7.912,
  226.000, -13.396,
  228.000, -17.823,
  230.000, -22.438,
  232.000, -24.383,
  234.000, -28.244,
  236.000, -31.729,
  238.000, -34.666,
  240.000, -38.271,
  242.000, -39.689,
  244.000, -42.258,
  246.000, -45.563,
  248.000, -48.080,
  250.000, -50.017,
  252.000, -51.571,
  254.000, -52.638,
  256.000, -56.085,
  258.000, -58.285,
  260.000, -57.855,
  262.000, -58.568,
  264.000, -61.878,
  266.000, -62.376,
  268.000, -65.952,
  270.000, -70.918,
  272.000, -68.191,
  274.000, -68.972,
  276.000, -77.142,
  278.000, -65.627,
  280.000, -76.626,
  282.000, -68.365,
  284.000, -71.294,
  286.000, -71.792,
  288.000, -78.088,
  290.000, -77.778,
  292.000, -85.147,
  294.000, -81.019,
  296.000, -75.039,
  298.000, -82.592,
  300.000, -80.322,
  302.000, -102.21,
  304.000, -98.225,
  306.000, -88.645,
  308.000, -87.737,
  310.000, -107.39,
  312.000, -82.852,
  314.000, -81.050,
  316.000, -74.545,
  318.000, -90.666,
  320.000, -105.28,
  322.000, -89.707,
  324.000, -84.711,
  326.000, -81.727,
  328.000, -107.81,
  330.000, -79.875,
  332.000, -59.421,
  334.000, -115.06,
  336.000, -81.377,
  338.000, -93.731,
  340.000, -90.878,
  342.000, -126.89,
  344.000, -132.49,
  346.000, -131.40,
  348.000, -118.55,
  350.000, -106.24,
  352.000, -73.203,
  354.000, -120.24,
  356.000, -86.899,
  358.000, -117.86,
  360.000, -120.35,
  362.000, -115.15,
  364.000, -132.85,
  366.000, -114.11,
  368.000, -135.69,
  370.000, -91.038,
  372.000, -129.56,
  374.000, -124.80,
  376.000, -100.10,
  378.000, -147.47,
  380.000, -97.406,
  382.000, -93.772,
  384.000, -89.350,
  386.000, -123.70,
  388.000, -139.84,
  390.000, -125.93,
  392.000, -116.62,
  394.000, -105.70,
  396.000, -110.90,
  398.000, -142.49,
  400.000, -90.452,
  402.000, -95.816,
  404.000, -93.713,
  406.000, -112.62,
  408.000, -108.35,
  410.000, -146.63,
  412.000, -89.875,
  414.000, -118.65,
  416.000, -104.01,
  418.000, -158.80,
  420.000, -99.610,
  422.000, -122.07,
  424.000, -146.16,
  426.000, -98.009,
  428.000, -136.36,
  430.000, -144.70,
  432.000, -97.070,
  434.000, -130.92,
  436.000, -140.54,
  438.000, -114.88,
  440.000,  82.586,
  442.000, -79.938,
  444.000, -130.34,
  446.000, -111.64,
  448.000, -175.42,
  450.000, -130.89,
  452.000, -126.31,
  454.000, -150.05,
  456.000, -153.26,
  458.000, -149.78,
  460.000, -89.588,
  462.000, -142.85,
  464.000, -108.12,
  466.000, -171.11,
  468.000, -115.25,
  470.000,  175.39,
  472.000, -152.60,
  474.000, -88.689,
  476.000,  72.530,
  478.000, -75.653,
  480.000, -153.54,
  482.000, -154.70,
  484.000, -137.04,
  486.000,  165.42,
  488.000, -169.37,
  490.000, -153.43,
  492.000, -137.68,
  494.000, -143.48,
  496.000, -118.79,
  498.000, -83.784,
  500.000,  155.20,
