"HP8714ES: E.06.02"
"Reflection, Format:Log Mag"
"Freq(MHz)","dB",
  100.000, -0.062,
  102.000, -0.113,
  104.000, -0.119,
  106.000, -0.122,
  108.000, -0.138,
  110.000, -0.118,
  112.000, -0.181,
  114.000, -0.141,
  116.000, -0.171,
  118.000, -0.172,
  120.000, -0.206,
  122.000, -0.201,
  124.000, -0.323,
  126.000, -0.376,
  128.000, -0.394,
  130.000, -0.473,
  132.000, -0.624,
  134.000, -0.688,
  136.000, -0.865,
  138.000, -1.097,
  140.000, -1.549,
  142.000, -2.193,
  144.000, -3.369,
  146.000, -5.331,
  148.000, -8.708,
  150.000,-14.090,
  152.000,-23.524,
  154.000,-23.703,
  156.000,-18.455,
  158.000,-16.089,
  160.000,-15.097,
  162.000,-14.686,
  164.000,-14.449,
  166.000,-14.530,
  168.000,-14.728,
  170.000,-15.123,
  172.000,-15.593,
  174.000,-16.392,
  176.000,-17.461,
  178.000,-19.086,
  180.000,-21.183,
  182.000,-24.076,
  184.000,-25.901,
  186.000,-24.576,
  188.000,-21.893,
  190.000,-20.042,
  192.000,-19.411,
  194.000,-20.303,
  196.000,-24.218,
  198.000,-27.590,
  200.000,-17.125,
  202.000,-10.993,
  204.000, -7.091,
  206.000, -4.663,
  208.000, -3.128,
  210.000, -2.123,
  212.000, -1.512,
  214.000, -1.197,
  216.000, -0.907,
  218.000, -0.706,
  220.000, -0.595,
  222.000, -0.482,
  224.000, -0.402,
  226.000, -0.361,
  228.000, -0.284,
  230.000, -0.276,
  232.000, -0.226,
  234.000, -0.213,
  236.000, -0.184,
  238.000, -0.180,
  240.000, -0.178,
  242.000, -0.154,
  244.000, -0.136,
  246.000, -0.133,
  248.000, -0.111,
  250.000, -0.104,
  252.000, -0.125,
  254.000, -0.090,
  256.000, -0.082,
  258.000, -0.068,
  260.000, -0.086,
  262.000, -0.050,
  264.000, -0.026,
  266.000, -0.090,
  268.000, -0.051,
  270.000, -0.018,
  272.000, -0.035,
  274.000, -0.024,
  276.000, -0.018,
  278.000,  0.012,
  280.000, -0.025,
  282.000, -0.028,
  284.000,  0.001,
  286.000, -0.069,
  288.000,  0.005,
  290.000, -0.001,
  292.000, -0.005,
  294.000, -0.015,
  296.000,  0.033,
  298.000,  0.028,
  300.000,  0.026,
  302.000,  0.001,
  304.000,  0.027,
  306.000,  0.047,
  308.000,  0.041,
  310.000,  0.037,
  312.000,  0.059,
  314.000,  0.059,
  316.000,  0.034,
  318.000,  0.046,
  320.000,  0.031,
  322.000,  0.059,
  324.000,  0.032,
  326.000,  0.074,
  328.000,  0.023,
  330.000,  0.050,
  332.000,  0.058,
  334.000,  0.024,
  336.000,  0.025,
  338.000,  0.040,
  340.000,  0.048,
  342.000,  0.045,
  344.000,  0.077,
  346.000,  0.057,
  348.000,  0.073,
  350.000,  0.060,
  352.000,  0.073,
  354.000,  0.082,
  356.000,  0.056,
  358.000,  0.060,
  360.000,  0.048,
  362.000,  0.060,
  364.000,  0.054,
  366.000,  0.045,
  368.000,  0.100,
  370.000,  0.055,
  372.000,  0.062,
  374.000,  0.098,
  376.000,  0.086,
  378.000,  0.070,
  380.000,  0.054,
  382.000,  0.101,
  384.000,  0.074,
  386.000,  0.071,
  388.000,  0.072,
  390.000,  0.080,
  392.000,  0.043,
  394.000,  0.081,
  396.000,  0.077,
  398.000,  0.068,
  400.000,  0.066,
  402.000,  0.101,
  404.000,  0.106,
  406.000,  0.101,
  408.000,  0.085,
  410.000,  0.092,
  412.000,  0.081,
  414.000,  0.082,
  416.000,  0.118,
  418.000,  0.092,
  420.000,  0.101,
  422.000,  0.078,
  424.000,  0.106,
  426.000,  0.059,
  428.000,  0.076,
  430.000,  0.069,
  432.000,  0.072,
  434.000,  0.098,
  436.000,  0.080,
  438.000,  0.089,
  440.000,  0.091,
  442.000,  0.083,
  444.000,  0.106,
  446.000,  0.112,
  448.000,  0.115,
  450.000,  0.106,
  452.000,  0.082,
  454.000,  0.087,
  456.000,  0.090,
  458.000,  0.133,
  460.000,  0.111,
  462.000,  0.081,
  464.000,  0.115,
  466.000,  0.104,
  468.000,  0.104,
  470.000,  0.131,
  472.000,  0.069,
  474.000,  0.100,
  476.000,  0.112,
  478.000,  0.110,
  480.000,  0.121,
  482.000,  0.106,
  484.000,  0.108,
  486.000,  0.108,
  488.000,  0.116,
  490.000,  0.108,
  492.000,  0.091,
  494.000,  0.126,
  496.000,  0.085,
  498.000,  0.089,
  500.000,  0.108,
