"HP8714ES: E.06.02"
"B/R, Format:Log Mag"
"Freq(MHz)","dB",
  100.000, -0.112,
  102.000, -0.058,
  104.000, -0.069,
  106.000, -0.088,
  108.000, -0.093,
  110.000, -0.130,
  112.000, -0.148,
  114.000, -0.208,
  116.000, -0.259,
  118.000, -0.298,
  120.000, -0.333,
  122.000, -0.347,
  124.000, -0.403,
  126.000, -0.425,
  128.000, -0.523,
  130.000, -0.568,
  132.000, -0.662,
  134.000, -0.785,
  136.000, -0.966,
  138.000, -1.212,
  140.000, -1.607,
  142.000, -2.285,
  144.000, -3.335,
  146.000, -5.294,
  148.000, -8.256,
  150.000,-12.742,
  152.000,-18.076,
  154.000,-19.344,
  156.000,-17.316,
  158.000,-15.812,
  160.000,-15.081,
  162.000,-14.777,
  164.000,-14.696,
  166.000,-14.829,
  168.000,-15.038,
  170.000,-15.476,
  172.000,-16.145,
  174.000,-17.043,
  176.000,-18.439,
  178.000,-20.433,
  180.000,-23.549,
  182.000,-29.110,
  184.000,-33.320,
  186.000,-26.315,
  188.000,-22.019,
  190.000,-19.680,
  192.000,-18.622,
  194.000,-18.648,
  196.000,-19.337,
  198.000,-18.313,
  200.000,-14.022,
  202.000, -9.747,
  204.000, -6.472,
  206.000, -4.321,
  208.000, -2.869,
  210.000, -1.972,
  212.000, -1.473,
  214.000, -1.102,
  216.000, -0.834,
  218.000, -0.645,
  220.000, -0.552,
  222.000, -0.487,
  224.000, -0.438,
  226.000, -0.372,
  228.000, -0.357,
  230.000, -0.230,
  232.000, -0.276,
  234.000, -0.207,
  236.000, -0.213,
  238.000, -0.177,
  240.000, -0.116,
  242.000, -0.111,
  244.000, -0.146,
  246.000, -0.150,
  248.000, -0.144,
  250.000, -0.136,
  252.000, -0.135,
  254.000, -0.078,
  256.000, -0.067,
  258.000, -0.063,
  260.000, -0.069,
  262.000, -0.061,
  264.000, -0.094,
  266.000, -0.085,
  268.000, -0.066,
  270.000, -0.060,
  272.000, -0.076,
  274.000, -0.042,
  276.000, -0.094,
  278.000, -0.066,
  280.000, -0.037,
  282.000, -0.081,
  284.000, -0.032,
  286.000, -0.087,
  288.000, -0.083,
  290.000, -0.072,
  292.000, -0.095,
  294.000, -0.086,
  296.000, -0.091,
  298.000, -0.071,
  300.000, -0.113,
  302.000, -0.098,
  304.000, -0.081,
  306.000, -0.098,
  308.000, -0.126,
  310.000, -0.142,
  312.000, -0.114,
  314.000, -0.145,
  316.000, -0.090,
  318.000, -0.099,
  320.000, -0.150,
  322.000, -0.135,
  324.000, -0.159,
  326.000, -0.112,
  328.000, -0.139,
  330.000, -0.150,
  332.000, -0.103,
  334.000, -0.176,
  336.000, -0.131,
  338.000, -0.137,
  340.000, -0.129,
  342.000, -0.128,
  344.000, -0.100,
  346.000, -0.131,
  348.000, -0.133,
  350.000, -0.112,
  352.000, -0.128,
  354.000, -0.148,
  356.000, -0.134,
  358.000, -0.177,
  360.000, -0.122,
  362.000, -0.165,
  364.000, -0.115,
  366.000, -0.139,
  368.000, -0.111,
  370.000, -0.138,
  372.000, -0.129,
  374.000, -0.142,
  376.000, -0.140,
  378.000, -0.115,
  380.000, -0.132,
  382.000, -0.145,
  384.000, -0.131,
  386.000, -0.142,
  388.000, -0.140,
  390.000, -0.147,
  392.000, -0.172,
  394.000, -0.161,
  396.000, -0.173,
  398.000, -0.146,
  400.000, -0.139,
  402.000, -0.189,
  404.000, -0.153,
  406.000, -0.186,
  408.000, -0.199,
  410.000, -0.217,
  412.000, -0.168,
  414.000, -0.183,
  416.000, -0.181,
  418.000, -0.162,
  420.000, -0.226,
  422.000, -0.190,
  424.000, -0.192,
  426.000, -0.196,
  428.000, -0.217,
  430.000, -0.225,
  432.000, -0.231,
  434.000, -0.205,
  436.000, -0.208,
  438.000, -0.256,
  440.000, -0.227,
  442.000, -0.204,
  444.000, -0.184,
  446.000, -0.197,
  448.000, -0.262,
  450.000, -0.239,
  452.000, -0.224,
  454.000, -0.199,
  456.000, -0.248,
  458.000, -0.257,
  460.000, -0.249,
  462.000, -0.203,
  464.000, -0.251,
  466.000, -0.237,
  468.000, -0.266,
  470.000, -0.223,
  472.000, -0.248,
  474.000, -0.253,
  476.000, -0.252,
  478.000, -0.258,
  480.000, -0.275,
  482.000, -0.263,
  484.000, -0.277,
  486.000, -0.269,
  488.000, -0.256,
  490.000, -0.222,
  492.000, -0.211,
  494.000, -0.236,
  496.000, -0.248,
  498.000, -0.313,
  500.000, -0.283,
