"HP8714ES: E.06.02"
"Transmission, Format:Phase"
"Freq(MHz)","Deg",
  700.000, -112.83,
  705.000, -114.88,
  710.000, -116.85,
  715.000, -118.60,
  720.000, -121.04,
  725.000, -122.42,
  730.000, -124.23,
  735.000, -126.50,
  740.000, -127.67,
  745.000, -129.87,
  750.000, -131.33,
  755.000, -133.04,
  760.000, -134.42,
  765.000, -136.15,
  770.000, -137.48,
  775.000, -138.90,
  780.000, -141.07,
  785.000, -142.98,
  790.000, -144.93,
  795.000, -146.57,
  800.000, -148.40,
  805.000, -150.49,
  810.000, -152.38,
  815.000, -154.68,
  820.000, -157.40,
  825.000, -159.68,
  830.000, -162.13,
  835.000, -164.01,
  840.000, -166.52,
  845.000, -168.53,
  850.000, -170.69,
  855.000, -173.06,
  860.000, -174.66,
  865.000, -176.78,
  870.000, -177.64,
  875.000,  179.96,
  880.000,  178.18,
  885.000,  177.14,
  890.000,  175.30,
  895.000,  173.54,
  900.000,  171.69,
  905.000,  170.14,
  910.000,  168.38,
  915.000,  165.98,
  920.000,  163.89,
  925.000,  162.12,
  930.000,  159.88,
  935.000,  157.95,
  940.000,  155.76,
  945.000,  153.17,
  950.000,  151.90,
  955.000,  149.62,
  960.000,  147.21,
  965.000,  145.77,
  970.000,  144.40,
  975.000,  141.37,
  980.000,  139.92,
  985.000,  138.14,
  990.000,  136.79,
  995.000,  135.06,
 1000.000,  132.70,
 1005.000,  130.75,
 1010.000,  128.51,
 1015.000,  127.37,
 1020.000,  125.29,
 1025.000,  122.32,
 1030.000,  120.87,
 1035.000,  118.83,
 1040.000,  116.44,
 1045.000,  114.70,
 1050.000,  113.06,
 1055.000,  111.53,
 1060.000,  109.94,
 1065.000,  108.14,
 1070.000,  106.01,
 1075.000,  104.73,
 1080.000,  103.07,
 1085.000,  101.72,
 1090.000,  99.543,
 1095.000,  97.921,
 1100.000,  95.755,
 1105.000,  94.818,
 1110.000,  92.390,
 1115.000,  90.856,
 1120.000,  88.759,
 1125.000,  87.209,
 1130.000,  84.711,
 1135.000,  83.117,
 1140.000,  81.554,
 1145.000,  78.721,
 1150.000,  76.891,
 1155.000,  75.659,
 1160.000,  72.860,
 1165.000,  71.811,
 1170.000,  70.321,
 1175.000,  68.255,
 1180.000,  66.662,
 1185.000,  64.227,
 1190.000,  63.506,
 1195.000,  60.882,
 1200.000,  59.284,
 1205.000,  58.315,
 1210.000,  55.784,
 1215.000,  54.559,
 1220.000,  52.748,
 1225.000,  50.885,
 1230.000,  49.290,
 1235.000,  48.057,
 1240.000,  45.982,
 1245.000,  44.385,
 1250.000,  42.952,
 1255.000,  40.921,
 1260.000,  39.324,
 1265.000,  37.709,
 1270.000,  35.868,
 1275.000,  34.018,
 1280.000,  32.912,
 1285.000,  31.016,
 1290.000,  28.515,
 1295.000,  26.673,
 1300.000,  24.697,
 1305.000,  23.454,
 1310.000,  21.374,
 1315.000,  19.473,
 1320.000,  17.000,
 1325.000,  15.835,
 1330.000,  14.186,
 1335.000,  12.290,
 1340.000,   9.939,
 1345.000,   8.856,
 1350.000,   7.019,
 1355.000,   6.077,
 1360.000,   4.725,
 1365.000,   3.487,
 1370.000,   1.700,
 1375.000,   0.165,
 1380.000,  -1.013,
 1385.000,  -2.270,
 1390.000,  -4.378,
 1395.000,  -5.626,
 1400.000,  -7.568,
 1405.000,  -9.456,
 1410.000, -11.455,
 1415.000, -13.747,
 1420.000, -15.688,
 1425.000, -17.406,
 1430.000, -19.497,
 1435.000, -21.467,
 1440.000, -23.818,
 1445.000, -25.687,
 1450.000, -27.519,
 1455.000, -29.148,
 1460.000, -30.984,
 1465.000, -32.932,
 1470.000, -34.166,
 1475.000, -35.910,
 1480.000, -36.303,
 1485.000, -37.847,
 1490.000, -39.201,
 1495.000, -40.737,
 1500.000, -42.220,
 1505.000, -43.477,
 1510.000, -45.144,
 1515.000, -46.217,
 1520.000, -47.627,
 1525.000, -49.395,
 1530.000, -51.292,
 1535.000, -52.012,
 1540.000, -54.029,
 1545.000, -55.462,
 1550.000, -57.309,
 1555.000, -58.348,
 1560.000, -60.272,
 1565.000, -62.169,
 1570.000, -64.639,
 1575.000, -65.623,
 1580.000, -67.739,
 1585.000, -69.234,
 1590.000, -71.463,
 1595.000, -72.999,
 1600.000, -74.417,
 1605.000, -76.604,
 1610.000, -78.370,
 1615.000, -80.137,
 1620.000, -82.007,
 1625.000, -83.503,
 1630.000, -84.934,
 1635.000, -86.516,
 1640.000, -87.605,
 1645.000, -89.221,
 1650.000, -89.935,
 1655.000, -91.776,
 1660.000, -92.431,
 1665.000, -94.086,
 1670.000, -95.197,
 1675.000, -96.358,
 1680.000, -98.455,
 1685.000, -99.856,
 1690.000, -101.63,
 1695.000, -102.76,
 1700.000, -104.44,
