"HP8714ES: E.06.02"
"Transmission, Format:Log Mag"
"Freq(MHz)","dB",
  700.000, -2.433,
  705.000, -2.523,
  710.000, -2.519,
  715.000, -2.528,
  720.000, -2.576,
  725.000, -2.579,
  730.000, -2.623,
  735.000, -2.623,
  740.000, -2.614,
  745.000, -2.644,
  750.000, -2.661,
  755.000, -2.692,
  760.000, -2.692,
  765.000, -2.713,
  770.000, -2.688,
  775.000, -2.733,
  780.000, -2.771,
  785.000, -2.790,
  790.000, -2.853,
  795.000, -2.838,
  800.000, -2.890,
  805.000, -2.894,
  810.000, -2.944,
  815.000, -2.962,
  820.000, -2.992,
  825.000, -3.037,
  830.000, -3.067,
  835.000, -3.056,
  840.000, -3.063,
  845.000, -3.072,
  850.000, -3.093,
  855.000, -3.107,
  860.000, -3.116,
  865.000, -3.125,
  870.000, -3.066,
  875.000, -3.152,
  880.000, -3.116,
  885.000, -3.102,
  890.000, -3.105,
  895.000, -3.139,
  900.000, -3.127,
  905.000, -3.166,
  910.000, -3.178,
  915.000, -3.212,
  920.000, -3.195,
  925.000, -3.249,
  930.000, -3.257,
  935.000, -3.256,
  940.000, -3.295,
  945.000, -3.306,
  950.000, -3.317,
  955.000, -3.314,
  960.000, -3.342,
  965.000, -3.320,
  970.000, -3.327,
  975.000, -3.353,
  980.000, -3.355,
  985.000, -3.331,
  990.000, -3.338,
  995.000, -3.353,
 1000.000, -3.386,
 1005.000, -3.397,
 1010.000, -3.378,
 1015.000, -3.388,
 1020.000, -3.399,
 1025.000, -3.407,
 1030.000, -3.430,
 1035.000, -3.420,
 1040.000, -3.455,
 1045.000, -3.412,
 1050.000, -3.403,
 1055.000, -3.410,
 1060.000, -3.410,
 1065.000, -3.420,
 1070.000, -3.414,
 1075.000, -3.350,
 1080.000, -3.368,
 1085.000, -3.389,
 1090.000, -3.383,
 1095.000, -3.403,
 1100.000, -3.414,
 1105.000, -3.405,
 1110.000, -3.460,
 1115.000, -3.433,
 1120.000, -3.466,
 1125.000, -3.484,
 1130.000, -3.520,
 1135.000, -3.524,
 1140.000, -3.536,
 1145.000, -3.568,
 1150.000, -3.542,
 1155.000, -3.572,
 1160.000, -3.563,
 1165.000, -3.549,
 1170.000, -3.520,
 1175.000, -3.556,
 1180.000, -3.514,
 1185.000, -3.536,
 1190.000, -3.493,
 1195.000, -3.543,
 1200.000, -3.507,
 1205.000, -3.479,
 1210.000, -3.508,
 1215.000, -3.519,
 1220.000, -3.537,
 1225.000, -3.487,
 1230.000, -3.538,
 1235.000, -3.520,
 1240.000, -3.506,
 1245.000, -3.517,
 1250.000, -3.560,
 1255.000, -3.516,
 1260.000, -3.539,
 1265.000, -3.551,
 1270.000, -3.584,
 1275.000, -3.578,
 1280.000, -3.566,
 1285.000, -3.572,
 1290.000, -3.607,
 1295.000, -3.604,
 1300.000, -3.639,
 1305.000, -3.615,
 1310.000, -3.636,
 1315.000, -3.626,
 1320.000, -3.664,
 1325.000, -3.595,
 1330.000, -3.631,
 1335.000, -3.622,
 1340.000, -3.610,
 1345.000, -3.579,
 1350.000, -3.571,
 1355.000, -3.542,
 1360.000, -3.532,
 1365.000, -3.539,
 1370.000, -3.536,
 1375.000, -3.543,
 1380.000, -3.566,
 1385.000, -3.609,
 1390.000, -3.647,
 1395.000, -3.670,
 1400.000, -3.645,
 1405.000, -3.662,
 1410.000, -3.654,
 1415.000, -3.682,
 1420.000, -3.650,
 1425.000, -3.644,
 1430.000, -3.659,
 1435.000, -3.630,
 1440.000, -3.592,
 1445.000, -3.565,
 1450.000, -3.585,
 1455.000, -3.545,
 1460.000, -3.513,
 1465.000, -3.500,
 1470.000, -3.473,
 1475.000, -3.494,
 1480.000, -3.420,
 1485.000, -3.508,
 1490.000, -3.493,
 1495.000, -3.488,
 1500.000, -3.539,
 1505.000, -3.547,
 1510.000, -3.568,
 1515.000, -3.525,
 1520.000, -3.567,
 1525.000, -3.612,
 1530.000, -3.618,
 1535.000, -3.581,
 1540.000, -3.624,
 1545.000, -3.588,
 1550.000, -3.634,
 1555.000, -3.592,
 1560.000, -3.601,
 1565.000, -3.639,
 1570.000, -3.618,
 1575.000, -3.596,
 1580.000, -3.604,
 1585.000, -3.561,
 1590.000, -3.563,
 1595.000, -3.536,
 1600.000, -3.501,
 1605.000, -3.458,
 1610.000, -3.466,
 1615.000, -3.420,
 1620.000, -3.379,
 1625.000, -3.398,
 1630.000, -3.408,
 1635.000, -3.365,
 1640.000, -3.398,
 1645.000, -3.401,
 1650.000, -3.446,
 1655.000, -3.497,
 1660.000, -3.540,
 1665.000, -3.571,
 1670.000, -3.633,
 1675.000, -3.655,
 1680.000, -3.741,
 1685.000, -3.747,
 1690.000, -3.758,
 1695.000, -3.764,
 1700.000, -3.735,
