"HP8714ES: E.06.02"
"B/R, Format:Log Mag"
"Freq(MHz)","dB",
  700.000,-17.565,
  705.000,-17.409,
  710.000,-17.288,
  715.000,-17.189,
  720.000,-17.068,
  725.000,-16.995,
  730.000,-16.944,
  735.000,-16.904,
  740.000,-16.728,
  745.000,-16.775,
  750.000,-16.587,
  755.000,-16.537,
  760.000,-16.545,
  765.000,-16.449,
  770.000,-16.463,
  775.000,-16.380,
  780.000,-16.287,
  785.000,-16.320,
  790.000,-16.249,
  795.000,-16.224,
  800.000,-16.196,
  805.000,-16.160,
  810.000,-16.126,
  815.000,-16.214,
  820.000,-16.113,
  825.000,-16.083,
  830.000,-16.147,
  835.000,-16.111,
  840.000,-16.108,
  845.000,-16.129,
  850.000,-16.092,
  855.000,-16.106,
  860.000,-16.188,
  865.000,-16.146,
  870.000,-16.194,
  875.000,-16.176,
  880.000,-16.251,
  885.000,-16.221,
  890.000,-16.288,
  895.000,-16.314,
  900.000,-16.354,
  905.000,-16.363,
  910.000,-16.440,
  915.000,-16.459,
  920.000,-16.543,
  925.000,-16.550,
  930.000,-16.634,
  935.000,-16.644,
  940.000,-16.714,
  945.000,-16.766,
  950.000,-16.961,
  955.000,-16.900,
  960.000,-17.009,
  965.000,-17.094,
  970.000,-17.135,
  975.000,-17.245,
  980.000,-17.335,
  985.000,-17.417,
  990.000,-17.555,
  995.000,-17.675,
 1000.000,-17.806,
 1005.000,-17.905,
 1010.000,-18.028,
 1015.000,-18.159,
 1020.000,-18.293,
 1025.000,-18.417,
 1030.000,-18.528,
 1035.000,-18.640,
 1040.000,-18.770,
 1045.000,-18.934,
 1050.000,-19.120,
 1055.000,-19.270,
 1060.000,-19.413,
 1065.000,-19.633,
 1070.000,-19.784,
 1075.000,-20.015,
 1080.000,-20.251,
 1085.000,-20.473,
 1090.000,-20.706,
 1095.000,-20.933,
 1100.000,-21.219,
 1105.000,-21.456,
 1110.000,-21.736,
 1115.000,-21.962,
 1120.000,-22.217,
 1125.000,-22.598,
 1130.000,-23.038,
 1135.000,-23.199,
 1140.000,-23.768,
 1145.000,-24.257,
 1150.000,-24.564,
 1155.000,-24.960,
 1160.000,-25.436,
 1165.000,-25.940,
 1170.000,-26.582,
 1175.000,-26.924,
 1180.000,-27.742,
 1185.000,-28.455,
 1190.000,-29.111,
 1195.000,-29.940,
 1200.000,-30.632,
 1205.000,-31.860,
 1210.000,-32.878,
 1215.000,-34.031,
 1220.000,-35.552,
 1225.000,-37.253,
 1230.000,-39.552,
 1235.000,-41.376,
 1240.000,-47.649,
 1245.000,-49.447,
 1250.000,-47.661,
 1255.000,-42.943,
 1260.000,-38.496,
 1265.000,-36.812,
 1270.000,-34.664,
 1275.000,-33.661,
 1280.000,-32.862,
 1285.000,-30.585,
 1290.000,-30.261,
 1295.000,-29.487,
 1300.000,-28.724,
 1305.000,-27.578,
 1310.000,-27.388,
 1315.000,-26.418,
 1320.000,-26.012,
 1325.000,-25.026,
 1330.000,-24.886,
 1335.000,-24.180,
 1340.000,-23.839,
 1345.000,-23.263,
 1350.000,-22.935,
 1355.000,-22.426,
 1360.000,-22.078,
 1365.000,-21.747,
 1370.000,-21.414,
 1375.000,-21.130,
 1380.000,-20.820,
 1385.000,-20.464,
 1390.000,-20.313,
 1395.000,-20.092,
 1400.000,-19.741,
 1405.000,-19.436,
 1410.000,-19.167,
 1415.000,-18.985,
 1420.000,-18.556,
 1425.000,-18.280,
 1430.000,-18.058,
 1435.000,-18.015,
 1440.000,-17.798,
 1445.000,-17.531,
 1450.000,-17.390,
 1455.000,-17.128,
 1460.000,-17.040,
 1465.000,-16.894,
 1470.000,-16.552,
 1475.000,-16.429,
 1480.000,-16.341,
 1485.000,-16.220,
 1490.000,-16.096,
 1495.000,-15.851,
 1500.000,-15.806,
 1505.000,-15.600,
 1510.000,-15.536,
 1515.000,-15.432,
 1520.000,-15.290,
 1525.000,-15.166,
 1530.000,-15.032,
 1535.000,-14.948,
 1540.000,-14.842,
 1545.000,-14.743,
 1550.000,-14.615,
 1555.000,-14.475,
 1560.000,-14.397,
 1565.000,-14.290,
 1570.000,-14.218,
 1575.000,-14.136,
 1580.000,-14.067,
 1585.000,-14.021,
 1590.000,-13.943,
 1595.000,-13.899,
 1600.000,-13.859,
 1605.000,-13.788,
 1610.000,-13.746,
 1615.000,-13.703,
 1620.000,-13.566,
 1625.000,-13.544,
 1630.000,-13.484,
 1635.000,-13.423,
 1640.000,-13.369,
 1645.000,-13.323,
 1650.000,-13.311,
 1655.000,-13.309,
 1660.000,-13.284,
 1665.000,-13.274,
 1670.000,-13.193,
 1675.000,-13.206,
 1680.000,-13.247,
 1685.000,-13.171,
 1690.000,-13.144,
 1695.000,-13.205,
 1700.000,-13.198,
